timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
340086192,0.43936345,0.010153946,0.0
724123047,0.44183946,0.010136092,0.0
724326738,0.45089388,0.009401917,0.0
724526823,0.45869237,0.008706871,0.0
724731358,0.43803865,0.008743402,0.0
724931657,0.45939532,0.0093842205,0.0
