timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
346184684,1574736268000090,372462585,1266671680,12605,30592,0.215,0.37569675,0.683,1.042,0.69,1.27,99,7,0.393,0.347,-0.185,-0.07700001,4.9891744,0,3,1,15
346380580,1574736268200090,372462593,1266671675,12610,30596,0.298,0.27430606,0.68500006,1.0450001,0.69,1.27,99,7,0.69100004,0.66200006,-0.2,0.024,5.6421766,0,3,1,15
346573508,1574736268400090,372462610,1266671672,12581,30568,0.27100003,0.13494362,0.688,1.047,0.69,1.27,99,7,1.2720001,1.2620001,-0.15900001,0.15900001,6.0571523,0,3,1,15
346773550,1574736268600090,372462639,1266671668,12549,30536,0.367,0.12780906,0.69200003,1.052,0.69,1.27,99,7,1.9430001,1.9350001,-0.179,0.124000005,6.127808,0,3,1,15
346964757,1574736268800090,372462680,1266671665,12526,30513,0.43100002,0.12873216,0.70100003,1.059,0.69,1.27,99,7,2.6420002,2.6390002,-0.126,0.157,6.1814666,0,3,1,15
347170317,1574736269000090,372462733,1266671663,12497,30484,0.395,0.07497358,0.71300006,1.072,0.69,1.27,92,8,3.2020001,3.2010002,-0.065000005,0.15,6.2425175,0,3,1,15
347376612,1574736269200090,372462796,1266671662,12481,30468,0.49600002,0.108315475,0.72400004,1.087,0.69,1.27,92,8,3.7250001,3.7250001,0.012,0.102000006,6.2571235,0,3,1,15
347573486,1574736269400090,372462867,1266671663,12473,30459,0.42200002,0.06338774,0.73800004,1.103,0.69,1.27,92,8,4.138,4.138,0.055000003,0.021000002,0.003316998,0,3,1,15
347772703,1574736269600090,372462943,1266671664,12424,30410,0.44200003,0.07011755,0.748,1.118,0.69,1.27,92,8,4.3,4.2990003,0.076000005,0.15,0.010013826,0,3,1,15
347970603,1574736269800090,372463022,1266671667,12399,30385,0.44700003,0.065708324,0.76000005,1.1320001,0.69,1.27,92,8,4.4560003,4.4550004,0.094000004,0.164,0.016019678,0,3,1,15
348166610,1574736270000090,372463104,1266671668,12318,30304,0.41900003,0.06477667,0.77000004,1.144,0.69,1.27,79,6,4.624,4.623,0.078,0.34600002,0.016480096,0,3,1,15
348364942,1574736270200090,372463186,1266671669,12284,30271,0.42800003,0.053752646,0.77900004,1.156,0.69,1.27,79,6,4.544,4.544,0.001,0.223,0.0065636593,0,3,1,15
348578571,1574736270400090,372463272,1266671669,12136,30123,0.30100003,0.04597651,0.785,1.153,0.69,1.27,79,6,4.8380003,4.8380003,-0.003,0.45400003,0.002272593,0,3,1,15
