timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
359558238,20.88614,21.081608,37.32009,36.10102,0.0,184.17426,0.77873474,1.1475024,0.0,6,0,0,0,0,0,1,1,0,0,0
360062225,20.944292,21.003696,37.849895,36.596024,0.0,189.34311,0.7746091,1.1508871,0.0,6,0,0,0,0,0,1,1,0,0,0
360566290,20.527538,20.905691,39.86004,37.797638,0.0,194.73259,0.77030075,1.1551412,0.0,6,0,0,0,0,0,1,1,0,0,0
361070359,20.653534,20.777296,40.35868,39.64227,0.0,200.48352,0.76570064,1.1607964,0.0,6,0,0,0,0,0,1,1,0,0,0
361574115,21.031519,20.797594,35.216454,38.062664,0.0,205.70403,0.76111346,1.1598818,0.0,6,0,0,0,0,0,1,1,0,0,0
362079066,21.128439,20.868118,33.159565,36.089546,0.0,210.57741,0.756749,1.1569214,0.0,6,0,0,0,0,0,1,1,0,0,0
362583708,21.351353,21.001926,30.167723,33.28175,0.0,214.98874,0.7527108,1.1513002,0.0,6,0,0,0,0,0,1,1,0,0,0
363087554,21.554884,21.169472,28.609472,30.70155,0.0,219.02882,0.7490825,1.1442689,0.0,6,0,0,0,0,0,1,1,0,0,0
363591057,21.719646,21.301283,26.287682,28.841349,0.0,222.90256,0.7457683,1.1388234,0.0,6,0,0,0,0,0,1,1,0,0,0
364095223,21.419197,21.363398,28.671804,28.493404,0.0,226.84143,0.7426547,1.136421,0.0,6,0,0,0,0,0,1,1,0,0,0
364599024,21.167206,21.343342,32.193447,29.692236,0.0,231.07751,0.73954344,1.1374307,0.0,6,0,0,0,0,0,1,1,0,0,0
365091178,21.157515,21.3199,31.289663,30.26773,0.0,235.27406,0.73645127,1.1385386,0.0,6,0,0,0,0,0,1,1,0,0,0
365594908,21.361046,21.276909,31.009178,30.89266,0.0,239.6663,0.73322314,1.140532,0.0,6,0,0,0,0,0,1,1,0,0,0
