timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
340432439,0.22937633,0.26949713,0.47246715
340456441,0.22672902,0.2729333,0.47126144
340483000,0.22672902,0.26606095,0.47126144
340504436,0.22937633,0.2717879,0.47246715
340527523,0.23202364,0.26377016,0.4664385
340550589,0.22540538,0.26377016,0.46884996
340574710,0.22672902,0.27064252,0.4736729
340598200,0.22408171,0.27064252,0.4736729
340618626,0.22011074,0.2809511,0.46884996
340640455,0.22011074,0.26949713,0.4628213
340664471,0.22275805,0.2740787,0.4748786
340688442,0.21746345,0.26835173,0.4700557
340712436,0.21481614,0.26491556,0.48090726
340736443,0.22011074,0.27980572,0.46764424
340760465,0.21481614,0.2843873,0.46402705
340784478,0.22937633,0.2889689,0.4531755
340808447,0.20555055,0.2729333,0.47608435
340832447,0.2214344,0.29584125,0.46402705
340859171,0.2068742,0.26720634,0.4736729
340880436,0.2161398,0.2786603,0.46764424
340904481,0.19760863,0.27980572,0.4748786
340928520,0.21349248,0.2878235,0.4543812
340955005,0.19231403,0.2820965,0.46884996
340976499,0.21481614,0.28553268,0.46402705
341003043,0.19628498,0.2809511,0.482113
341024477,0.21084517,0.29240507,0.4748786
341051260,0.19231403,0.28553268,0.4736729
341075753,0.1896667,0.27980572,0.4664385
341099113,0.20290324,0.2786603,0.4772901
341123063,0.19893229,0.29469585,0.4628213
341147858,0.19363768,0.27522412,0.4845245
341172358,0.20025595,0.29240507,0.46764424
341196450,0.19363768,0.2843873,0.46402705
341219811,0.1896667,0.27980572,0.47608435
341241487,0.20290324,0.29698664,0.4616156
341265437,0.19496134,0.2763695,0.4700557
341289451,0.19628498,0.29813206,0.46402705
341311752,0.19099036,0.2843873,0.4772901
341335492,0.18172479,0.2763695,0.4748786
341359493,0.18701941,0.2820965,0.46764424
341383003,0.19893229,0.2809511,0.4736729
341407109,0.19628498,0.29355046,0.46402705
341427629,0.18701941,0.2820965,0.46884996
341451487,0.19496134,0.29698664,0.47246715
341475675,0.20290324,0.30156824,0.4628213
341499651,0.20290324,0.29584125,0.4628213
341523839,0.19760863,0.29355046,0.4700557
341547577,0.19628498,0.29584125,0.4772901
341572484,0.19893229,0.29813206,0.4652328
341596165,0.17775384,0.2889689,0.4784958
341620444,0.1843721,0.29355046,0.46764424
341643624,0.18172479,0.2809511,0.4845245
341667615,0.1896667,0.28553268,0.47970155
341691640,0.18834305,0.29469585,0.4772901
341715563,0.18569575,0.2878235,0.47970155
341739593,0.19496134,0.29240507,0.4628213
341763726,0.17510653,0.28553268,0.48090726
341787738,0.1896667,0.30271363,0.46040985
341809435,0.18040113,0.2889689,0.48573023
341836552,0.18569575,0.29469585,0.45920414
341859638,0.17775384,0.27980572,0.47126144
341883652,0.18172479,0.29240507,0.4748786
341907961,0.17378286,0.28553268,0.47608435
341931845,0.19760863,0.30042285,0.47608435
341955591,0.1698119,0.2832419,0.4772901
341980606,0.18701941,0.29927745,0.4664385
342003862,0.17378286,0.28553268,0.4845245
342027748,0.18040113,0.30042285,0.4616156
342052446,0.17643018,0.2820965,0.47970155
