timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
340276465,340276465,0,0,0,0,0,0,0,0,0,0,0
340587577,340587577,0,0,0,0,0,0,0,0,0,0,0
341563895,341563895,0,0,0,0,0,0,0,0,0,0,0
341623394,341623394,0,0,0,0,0,0,0,0,0,0,0
342272480,342272480,0,0,0,0,0,0,0,0,0,0,0
342567343,342567343,0,0,0,0,0,0,0,0,0,0,0
343273456,343273456,0,0,0,0,0,0,0,0,0,0,0
343567151,343567151,0,0,0,0,0,0,0,0,0,0,0
344273123,344273123,0,0,0,0,0,0,0,0,0,0,0
344569548,344569548,0,0,0,0,0,0,0,0,0,0,0
345276465,345276465,0,0,0,0,0,0,0,0,0,0,0
346270223,346270223,0,0,0,0,0,0,0,0,0,0,0
346569555,346569555,0,0,0,0,0,0,0,0,0,0,0
347273390,347273390,0,0,0,0,0,0,0,0,0,0,0
347556363,347556363,0,0,0,0,0,0,0,0,0,0,0
348277190,348277190,0,0,0,0,0,0,0,0,0,0,0
348557272,348557272,0,0,0,0,0,0,0,0,0,0,0
349274429,349274429,0,0,0,0,0,0,0,0,0,0,0
349557127,349557127,0,0,0,0,0,0,0,0,0,0,0
350278108,350278108,0,0,0,0,0,0,0,0,0,0,0
350574145,350574145,0,0,0,0,0,0,0,0,0,0,0
351269985,351269985,0,0,0,0,0,0,0,0,0,0,0
351566200,351566200,0,0,0,0,0,0,0,0,0,0,0
352274803,352274803,0,0,0,0,0,0,0,0,0,0,0
352570824,352570824,0,0,0,0,0,0,0,0,0,0,0
353275219,353275219,0,0,0,0,0,0,0,0,0,0,0
353582770,353582770,0,0,0,0,0,0,0,0,0,0,0
354274442,354274442,0,0,0,0,0,0,0,0,0,0,0
354574078,354574078,0,0,0,0,0,0,0,0,0,0,0
355271327,355271327,0,0,0,0,0,0,0,0,0,0,0
355571638,355571638,0,0,0,0,0,0,0,0,0,0,0
356271419,356271419,0,0,0,0,0,0,0,0,0,0,0
356571928,356571928,0,0,0,0,0,0,0,0,0,0,0
357271809,357271809,0,0,0,0,0,0,0,0,0,0,0
357562986,357562986,0,0,0,0,0,0,0,0,0,0,0
358272504,358272504,0,0,0,0,0,0,0,0,0,0,0
358567530,358567530,0,0,0,0,0,0,0,0,0,0,0
359559950,359559950,0,0,0,0,0,0,0,0,0,0,0
360272421,360272421,0,0,0,0,0,0,0,0,0,0,0
360565373,360565373,0,0,0,0,0,0,0,0,0,0,0
361559637,361559637,0,0,0,0,0,0,0,0,0,0,0
361561512,361561512,0,0,0,0,0,0,0,0,0,0,0
362272723,362272723,0,0,0,0,0,0,0,0,0,0,0
362577459,362577459,0,0,0,0,0,0,0,0,0,0,0
363273290,363273290,0,0,0,0,0,0,0,0,0,0,0
363576029,363576029,0,0,0,0,0,0,0,0,0,0,0
364272814,364272814,0,0,0,0,0,0,0,0,0,0,0
364568555,364568555,0,0,0,0,0,0,0,0,0,0,0
365272680,365272680,0,0,0,0,0,0,0,0,0,0,0
365566024,365566024,0,0,0,0,0,0,0,0,0,0,0
366277600,366277600,0,0,0,0,0,0,0,0,0,0,0
367277595,367277595,0,0,0,0,0,0,0,0,0,0,0
367557883,367557883,0,0,0,0,0,0,0,0,0,0,0
