timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
340440745,5.2497067,0.0,0,0,1,0,0,0,0
340940781,5.0982423,0.0,0,0,1,0,0,0,0
341450755,5.0950193,0.0,0,0,1,0,0,0,0
341950756,5.1191893,0.0,0,0,1,0,0,0,0
342450766,5.0998535,0.0,0,0,1,0,0,0,0
342960745,5.1336913,0.0,0,0,1,0,0,0,0
343460765,5.122412,0.0,0,0,1,0,0,0,0
343970754,5.106299,0.0,0,0,1,0,0,0,0
344470797,5.1626954,0.0,0,0,1,0,0,0,0
344970769,5.153027,0.0,0,0,1,0,0,0,0
345980786,5.146582,0.0,0,0,1,0,0,0,0
346480751,5.1208005,0.0,0,0,1,0,0,0,0
346980779,5.1240234,0.0,0,0,1,0,0,0,0
347480778,5.153027,0.0,0,0,1,0,0,0,0
347990754,5.1481934,0.0,0,0,1,0,0,0,0
348490762,5.153027,0.0,0,0,1,0,0,0,0
349000745,5.1626954,0.0,0,0,1,0,0,0,0
349500745,5.1498046,0.0,0,0,1,0,0,0,0
350000771,5.1691403,0.0,0,0,1,0,0,0,0
350510788,5.1498046,0.0,0,0,1,0,0,0,0
351010745,5.146582,0.0,0,0,1,0,0,0,0
351510755,5.151416,0.0,0,0,1,0,0,0,0
352010787,5.1498046,0.0,0,0,1,0,0,0,0
352520773,5.1385255,0.0,0,0,1,0,0,0,0
353020746,5.1498046,0.0,0,0,1,0,0,0,0
353520777,5.151416,0.0,0,0,1,0,0,0,0
354030778,5.127246,0.0,0,0,1,0,0,0,0
354530754,5.146582,0.0,0,0,1,0,0,0,0
355030775,5.130469,0.0,0,0,1,0,0,0,0
355540745,5.1481934,0.0,0,0,1,0,0,0,0
356040748,5.151416,0.0,0,0,1,0,0,0,0
356540745,5.1594725,0.0,0,0,1,0,0,0,0
357050787,5.165918,0.0,0,0,1,0,0,0,0
357550789,5.1626954,0.0,0,0,1,0,0,0,0
358050754,5.1401367,0.0,0,0,1,0,0,0,0
358550749,5.1481934,0.0,0,0,1,0,0,0,0
359050778,5.08374,0.0,0,0,1,0,0,0,0
359560745,5.1014647,0.0,0,0,1,0,0,0,0
360060745,5.1788087,0.0,0,0,1,0,0,0,0
360570770,5.0869627,0.0,0,0,1,0,0,0,0
361070755,5.165918,0.0,0,0,1,0,0,0,0
361580745,5.182031,0.0,0,0,1,0,0,0,0
362080795,5.1111326,0.0,0,0,1,0,0,0,0
362580745,5.201367,0.0,0,0,1,0,0,0,0
363090782,5.2142577,0.0,0,0,1,0,0,0,0
363590755,5.146582,0.0,0,0,1,0,0,0,0
364090759,5.1997557,0.0,0,0,1,0,0,0,0
364600745,5.177197,0.0,0,0,1,0,0,0,0
365100745,5.1143556,0.0,0,0,1,0,0,0,0
365610757,5.1626954,0.0,0,0,1,0,0,0,0
366110752,5.182031,0.0,0,0,1,0,0,0,0
367110763,5.2029786,0.0,0,0,1,0,0,0,0
367620745,5.165918,0.0,0,0,1,0,0,0,0
368120745,5.153027,0.0,0,0,1,0,0,0,0
368620771,5.146582,0.0,0,0,1,0,0,0,0
369130772,5.1498046,0.0,0,0,1,0,0,0,0
369630747,5.1498046,0.0,0,0,1,0,0,0,0
370140746,5.1594725,0.0,0,0,1,0,0,0,0
370640782,5.153027,0.0,0,0,1,0,0,0,0
371140771,5.1336913,0.0,0,0,1,0,0,0,0
