timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,thrust[0],thrust[1],thrust[2]
340442401,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.0245795,0.020870637,-0.56916994,-0.004863107,0.009447496,-3.5689318,0.0,0.0,0.0
340542194,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.026756475,0.023199243,-0.8684049,-0.008999731,0.020136185,-4.1729517,0.0,0.0,0.0
340646262,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.028961882,0.024715446,-1.180753,-0.032472093,-0.021262208,-4.759113,0.0,0.0,0.0
340746815,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.032499388,0.023705201,-1.4816709,-0.019531548,-0.049735297,-5.254634,0.0,0.0,0.0
340846174,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.034953445,0.01884331,-1.7803539,-0.029018078,-0.082468934,-5.37591,0.0,0.0,0.0
340950912,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.038689617,0.010875051,-2.093554,-0.05264811,-0.14183219,-5.332828,0.0,0.0,0.0
341051184,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.043364894,-0.0022714268,-2.3952937,-0.051647343,-0.18822475,-5.237465,0.0,0.0,0.0
341151043,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.04808665,-0.020171508,-2.6945682,-0.07232943,-0.23353079,-5.2335596,0.0,0.0,0.0
341255041,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.05356667,-0.04237328,-3.0,-0.07544399,-0.26584262,-5.287099,0.0,0.0,0.0
341355171,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.060287867,-0.06305096,-3.0,-0.08367953,-0.28854164,-4.8322244,0.0,0.0,0.0
341455000,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.06904505,-0.0859124,-3.0,-0.08833954,-0.29385382,-4.4824605,0.0,0.0,0.0
341559626,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.08408303,-0.10872459,-3.0,-0.10297666,-0.30320504,-4.2997055,0.0,0.0,0.0
341659207,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.101450816,-0.13073735,-3.0,-0.12477697,-0.29755107,-4.206117,0.0,0.0,0.0
341763614,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.1212969,-0.15326731,-3.0,-0.14120005,-0.30385816,-4.2009096,0.0,0.0,0.0
341863736,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.13879268,-0.17386234,-3.0,-0.15465946,-0.30365342,-4.2302146,0.0,0.0,0.0
341963363,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.15747201,-0.19220097,-3.0,-0.17414829,-0.29829934,-4.2464914,0.0,0.0,0.0
342067197,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.17378873,-0.21085013,-3.0,-0.17168315,-0.2978329,-4.2717376,0.0,0.0,0.0
342167020,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.18717389,-0.22800161,-3.0,-0.1785604,-0.30309677,-4.26836,0.0,0.0,0.0
342267812,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.19905041,-0.24478072,-3.0,-0.18564785,-0.30500457,-4.2742567,0.0,0.0,0.0
342372119,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.20942648,-0.26263142,-3.0,-0.18167269,-0.30909535,-4.2797747,0.0,0.0,0.0
342475377,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.21882285,-0.27702606,-3.0,-0.17827275,-0.3060197,-4.2837873,0.0,0.0,0.0
342574980,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.2265532,-0.28854752,-3.0,-0.1856879,-0.3061416,-4.2887726,0.0,0.0,0.0
342679584,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.23166154,-0.29983458,-3.0,-0.1821926,-0.3028755,-4.2815275,0.0,0.0,0.0
342779602,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.23394649,-0.31000197,-3.0,-0.16643915,-0.30436262,-4.289752,0.0,0.0,0.0
342883521,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.23608993,-0.31963155,-3.0,-0.16769736,-0.30610007,-4.2834406,0.0,0.0,0.0
342983607,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.23777117,-0.32801256,-3.0,-0.16425274,-0.29831126,-4.281845,0.0,0.0,0.0
343083399,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.23757581,-0.33671966,-3.0,-0.15735172,-0.30410373,-4.2924385,0.0,0.0,0.0
343187192,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.23616482,-0.34500238,-3.0,-0.15325244,-0.3003115,-4.284664,0.0,0.0,0.0
343286925,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.23425986,-0.35145006,-3.0,-0.1421465,-0.29221132,-4.290222,0.0,0.0,0.0
343390999,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.23172864,-0.35678315,-3.0,-0.14404832,-0.29284793,-4.2813907,0.0,0.0,0.0
343491586,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.22960305,-0.36124617,-3.0,-0.14507796,-0.29177758,-4.2723155,0.0,0.0,0.0
343591143,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.22755887,-0.36486006,-3.0,-0.13601066,-0.28805175,-4.2800207,0.0,0.0,0.0
343694959,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.22489674,-0.36865342,-3.0,-0.137303,-0.28305507,-4.2814384,0.0,0.0,0.0
343795809,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.22198309,-0.3717867,-3.0,-0.14315557,-0.28577983,-4.286871,0.0,0.0,0.0
343894953,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.2189048,-0.3748527,-3.0,-0.13457204,-0.27601254,-4.297106,0.0,0.0,0.0
343999507,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.21558495,-0.37740782,-3.0,-0.13962056,-0.2769036,-4.287465,0.0,0.0,0.0
344099537,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.21089722,-0.37880063,-3.0,-0.1355903,-0.28005248,-4.2898607,0.0,0.0,0.0
344199587,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.20611145,-0.37902853,-3.0,-0.13265564,-0.27441338,-4.278083,0.0,0.0,0.0
344304542,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.19866113,-0.37815127,-2.899126,-0.12985434,-0.2671053,-4.0807066,0.0,0.0,0.0
344407988,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.19128792,-0.37602437,-2.5947075,-0.1371156,-0.26237267,-3.5538344,0.0,0.0,0.0
344507845,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.18511422,-0.3738412,-2.3120499,-0.113398254,-0.2529782,-3.2169306,0.0,0.0,0.0
344611977,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.17913486,-0.37036863,-2.0348616,-0.10990784,-0.2403439,-3.0357816,0.0,0.0,0.0
344712578,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.17355153,-0.36385146,-1.7936989,-0.11231477,-0.23243189,-2.9786382,0.0,0.0,0.0
344811852,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.16824888,-0.35616902,-1.5832993,-0.1085676,-0.22277668,-3.029787,0.0,0.0,0.0
344915754,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.16201676,-0.34852782,-1.3911599,-0.10970398,-0.20541352,-3.1168034,0.0,0.0,0.0
345016400,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.15622683,-0.34008497,-1.2282234,-0.09740964,-0.19427806,-3.2229145,0.0,0.0,0.0
345120256,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.15138327,-0.3295717,-1.0760777,-0.10752134,-0.17969368,-3.290624,0.0,0.0,0.0
345220187,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.14703582,-0.31855914,-0.9526177,-0.10350292,-0.17572019,-3.3652866,0.0,0.0,0.0
345320587,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.14053158,-0.30953333,-0.8458878,-0.091301605,-0.16375244,-3.4337718,0.0,0.0,0.0
345424604,0.3256576,-0.048340023,-11.518621,-1.010765,0.0,-0.13418977,-0.29985473,-0.7514191,-0.10472598,-0.16247046,-3.4853504,0.0,0.0,0.0
345731958,1.043441,-0.010446975,-11.518621,-1.010765,0.0,0.39327678,-0.2509533,-0.5487671,0.19892769,-0.14620051,-3.6044073,0.0,0.0,0.0
345832556,1.7544236,0.027087037,-11.518621,-1.010765,0.0,0.8944533,-0.22059432,-0.49869004,0.45706666,-0.1286125,-3.6227388,0.0,0.0,0.0
345931971,2.4701872,0.06487346,-11.518621,-1.010765,0.0,1.3913128,-0.18554664,-0.45641443,0.6956531,-0.118992805,-3.6554701,0.0,0.0,0.0
