timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
340441460,0.8747062,-0.008179355,0.011793882,-0.48444095,0.012092689,-0.0033762916,-0.0050877267,0.36260673,-0.08429609,-1.6949036,8.310943e-06,-8.597222e-06,-6.4207024e-06,-9.871732e-05,-8.814194e-05,0.0017360789,0.36622185,1.0649578e-08,0.46478817,0.0,0.0,0.0,0.0,0.0,0.0,1.256824e-08,0.00012846447,0.003292887,8.655382e-06,9.660057e-05,9.654197e-05,2.823228e-05,0.0117683895,0.01176761,0.010859472,0.052322805,0.052321754,0.05600719,1.0362669e-11,1.036787e-11,1.8193344e-11,2.298782e-06,2.2962492e-06,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.32348812,0.23665838,0.009514593,0.0060705515,0.014408906,0.016139403,0.0,0.0,0.0,-3.2e-05,0,0,0,831,0,0,0,0
340645583,0.87464327,-0.00811048,0.011576236,-0.48456112,0.0139450915,-0.004630368,-0.0064430595,0.3721914,-0.09043819,-1.7091211,8.296223e-06,-8.56792e-06,-6.3970674e-06,-9.865414e-05,-8.820422e-05,0.0017409882,0.36622185,1.0649578e-08,0.46478817,0.0,0.0,0.0,0.0,0.0,0.0,2.0360321e-08,0.00024553735,0.0063342853,8.663072e-06,9.6602955e-05,9.654503e-05,2.8247034e-05,0.011772737,0.0117720505,0.010840063,0.052304696,0.052303694,0.055876106,1.0363719e-11,1.0368919e-11,1.8197702e-11,2.2987817e-06,2.296249e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3234322,0.23638128,0.014517594,0.012334387,0.013066696,0.019647308,0.0,0.0,0.0,0.000106,0,0,0,831,0,0,0,0
340845438,0.8741653,-0.007621048,0.011511205,-0.48543236,0.023564497,0.037667427,-0.028355477,0.3798667,-0.09808494,-1.7189368,8.302589e-06,-8.538075e-06,-6.3720554e-06,-9.8695156e-05,-8.8251916e-05,0.0017428608,0.36622185,1.0649578e-08,0.46478817,0.0,0.0,0.0,0.0,0.0,0.0,1.4081762e-07,0.00037722447,0.010138458,8.697212e-06,9.660238e-05,9.654411e-05,2.8233357e-05,0.011788612,0.011787659,0.010740868,0.052253418,0.052252464,0.05501368,1.03644844e-11,1.0369713e-11,1.8202004e-11,2.2987797e-06,2.2962477e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3232737,0.23454995,0.025344376,0.015115993,0.013911154,0.02266357,0.0,0.0,0.0,-3.7e-05,0,0,0,831,0,0,0,0
341049789,0.87196165,0.0045819054,0.01833872,-0.48920923,0.014020985,0.13363771,-0.47807306,0.38502634,-0.08635492,-1.8085885,8.309909e-06,-8.523595e-06,-6.3242064e-06,-9.8584176e-05,-8.8604116e-05,0.0017602203,0.36622185,1.0649578e-08,0.46478817,0.0,0.0,0.0,0.0,0.0,0.0,2.8470882e-07,0.00055290275,0.011798941,8.851051e-06,9.65322e-05,9.642703e-05,2.8055792e-05,0.012175566,0.01217245,0.010780169,0.052505292,0.05250436,0.05525976,1.036812e-11,1.0373443e-11,1.81979e-11,2.2983197e-06,2.2957975e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.32405192,0.23507395,0.0041937996,0.03805716,0.013426901,0.010737837,0.0,0.0,0.0,0.000314,0,0,0,831,0,0,0,0
341250406,0.86324257,0.0027915419,0.018965883,-0.5044253,0.044723127,0.2712089,-1.1512828,0.39926848,-0.06251736,-1.9553033,8.331364e-06,-8.439842e-06,-6.2564554e-06,-8.6506436e-05,-9.1833695e-05,0.0017458169,0.36622185,1.0649578e-08,0.46478817,0.0,0.0,0.0,0.0,0.0,0.0,3.6615603e-07,0.00053383067,0.012842344,9.410885e-06,9.609491e-05,9.599554e-05,2.7524236e-05,0.012902429,0.012892201,0.010859796,0.052453008,0.05245203,0.05592007,1.0361633e-11,1.0367181e-11,1.8201645e-11,2.294507e-06,2.2919864e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.32389048,0.23647425,0.03380358,0.12428643,0.018519659,0.012095126,0.0,0.0,0.0,0.000131,0,0,0,831,0,0,0,0
341454224,0.8507574,-0.009712378,0.013813393,-0.5252872,0.0850084,0.35852367,-1.7239265,0.4457534,-0.009697185,-2.242869,8.192599e-06,-8.298606e-06,-6.21088e-06,-4.407051e-05,-4.99432e-05,0.0017381271,0.36622185,1.0649578e-08,0.46478817,0.0,0.0,0.0,0.0,0.0,0.0,3.9887317e-07,0.0004955596,0.012958543,1.0190596e-05,9.52966e-05,9.525402e-05,2.6786049e-05,0.013702398,0.013686487,0.010930266,0.05252062,0.052519348,0.05654804,1.0355866e-11,1.0361704e-11,1.8207052e-11,2.2861157e-06,2.2835968e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3240987,0.23779832,0.003846391,0.12841897,0.018637883,0.011958789,0.0,0.0,0.0,-5.2e-05,0,0,0,831,0,0,0,0
341654237,0.83772737,-0.020589642,0.0068367156,-0.54565763,0.10783645,0.38671705,-2.0999975,0.4967426,0.061841425,-2.5910347,8.059611e-06,-8.212999e-06,-6.1612404e-06,-1.2204389e-05,-4.741893e-06,0.0017188621,0.36622185,1.0649578e-08,0.46478817,0.0,0.0,0.0,0.0,0.0,0.0,4.7262213e-07,0.00059752027,0.013245261,1.1003193e-05,9.423423e-05,9.426802e-05,2.6046811e-05,0.014282668,0.014267761,0.010907475,0.052667055,0.052665196,0.0563342,1.0349716e-11,1.0355832e-11,1.821053e-11,2.274049e-06,2.2715026e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.32454932,0.23734827,0.0009904581,0.09799199,0.028865503,0.015399435,0.0,0.0,0.0,-7.3e-05,0,0,0,831,0,0,0,0
341858185,0.8271392,-0.028302941,0.004180386,-0.56126845,0.13298179,0.36195293,-2.2354288,0.53926235,0.13228264,-3.0424287,8.015393e-06,-8.14708e-06,-6.1342353e-06,1.1867105e-05,3.1858983e-06,0.001716305,0.36622185,1.0649578e-08,0.46478817,0.0,0.0,0.0,0.0,0.0,0.0,3.962445e-07,0.0006036057,0.013852758,1.1659297e-05,9.3042436e-05,9.313303e-05,2.5435109e-05,0.014459054,0.014451238,0.011003418,0.05304314,0.053040616,0.057163883,1.0346507e-11,1.0352859e-11,1.8205807e-11,2.2598283e-06,2.2572065e-06,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.325705,0.2390897,0.012362995,0.03574526,0.025420476,0.025230197,0.0,0.0,0.0,-8.9e-05,0,0,0,831,0,0,0,0
342058545,0.82144684,-0.033304904,0.0049911304,-0.56929,0.120011814,0.31870463,-2.2375505,0.56807727,0.20077485,-3.475697,8.018365e-06,-8.168011e-06,-6.1073756e-06,-3.3967597e-06,8.808298e-06,0.0017103364,0.36622185,1.0649578e-08,0.46478817,0.0,0.0,0.0,0.0,0.0,0.0,2.8999216e-07,0.0006032382,0.013530044,1.2028354e-05,9.183169e-05,9.196001e-05,2.5139172e-05,0.014385219,0.014386537,0.010965875,0.053063054,0.05306024,0.05687055,1.0340749e-11,1.0347286e-11,1.8209432e-11,2.2447514e-06,2.2420318e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3257657,0.23847547,0.017528446,0.022836164,0.01914447,0.017360976,0.0,0.0,0.0,0.000271,0,0,0,831,0,0,0,0
342258824,0.8191702,-0.03337162,0.007970068,-0.57252336,0.11058909,0.2830351,-2.234063,0.59582597,0.26846567,-3.9129996,7.997939e-06,-8.221963e-06,-6.073942e-06,-2.4372655e-05,3.553496e-05,0.0017055478,0.36622185,1.0649578e-08,0.46478817,0.0,0.0,0.0,0.0,0.0,0.0,1.9450574e-07,0.0005610429,0.014262004,1.2179167e-05,9.0623835e-05,9.0761205e-05,2.5013622e-05,0.014379378,0.014388179,0.011014649,0.05305035,0.053047728,0.05733356,1.0337884e-11,1.0344542e-11,1.8213235e-11,2.228292e-06,2.2254694e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.325727,0.23944427,0.013586329,0.047600385,0.02093128,0.0062310435,0.0,0.0,0.0,0.00054,0,0,0,831,0,0,0,0
