timestamp,previous.timestamp,previous.lat,previous.lon,previous.x,previous.y,previous.z,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.pitch_min,previous.a_x,previous.a_y,previous.a_z,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.position_valid,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.loiter_direction,previous.acceleration_valid,previous.acceleration_is_force,previous._padding0,current.timestamp,current.lat,current.lon,current.x,current.y,current.z,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.pitch_min,current.a_x,current.a_y,current.a_z,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.position_valid,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.loiter_direction,current.acceleration_valid,current.acceleration_is_force,current._padding0,next.timestamp,next.lat,next.lon,next.x,next.y,next.z,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.pitch_min,next.a_x,next.a_y,next.a_z,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.position_valid,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.loiter_direction,next.acceleration_valid,next.acceleration_is_force,next._padding0
453234115,0,37.2467182,126.66718039999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2467182,126.66719169999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2466283,126.66718309999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
453365445,0,37.2467182,126.66719169999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2466283,126.66718309999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2466283,126.66717179999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
457566867,0,37.2466283,126.66718309999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2466283,126.66717179999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2466283,126.66482599999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
459162149,0,37.2466283,126.66718309999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2466283,126.66717179999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2466283,126.66482599999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
459222104,0,37.2466283,126.66717179999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2466283,126.66482599999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2466283,126.6648147,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
503939777,0,37.2466283,126.66717179999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2466283,126.66482599999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2466283,126.6648147,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
504120245,0,37.2466283,126.6648147,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2465384,126.6648101,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2465384,126.6648214,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
508212771,0,37.2465384,126.6648101,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2465384,126.6648214,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2465383,126.66716319999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
508837373,0,37.2465384,126.6648101,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2465384,126.6648214,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2465383,126.66716319999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
508885619,0,37.2465384,126.6648214,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2465383,126.66716319999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2465383,126.66717449999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
552985608,0,37.2465384,126.6648214,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2465383,126.66716319999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2465383,126.66717449999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
553152543,0,37.2465383,126.66717449999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2464484,126.66716579999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2464484,126.6671545,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
557261928,0,37.2464484,126.66716579999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2464484,126.6671545,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2464484,126.6648168,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
559101789,0,37.2464484,126.66716579999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2464484,126.6671545,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2464484,126.6648168,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
559131190,0,37.2464484,126.6671545,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2464484,126.6648168,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2464484,126.6648055,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
603098852,0,37.2464484,126.6671545,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2464484,126.6648168,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2464484,126.6648055,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
603299819,0,37.2464484,126.6648055,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2463585,126.66480089999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2463585,126.6648122,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
607207821,0,37.2463585,126.66480089999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2463585,126.6648122,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2463585,126.6671459,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
608084496,0,37.2463585,126.66480089999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2463585,126.6648122,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2463585,126.6671459,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
608132643,0,37.2463585,126.6648122,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2463585,126.6671459,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2463585,126.66715719999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
651983003,0,37.2463585,126.6648122,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2463585,126.6671459,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2463585,126.66715719999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
652158299,0,37.2463585,126.6671459,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0,0,37.2463585,126.66715719999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,5.0,-1.0,1,2,0,0,0,0,0,0,1,0,0,0,0,37.2463585,126.66715719999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
674465204,0,37.2463585,126.6671459,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0,0,37.2463591312203,126.6671564419679,0.0,0.0,0.0,0.0,0.0,0.0,20.18412,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2463585,126.66715719999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
675614409,0,37.24636014650953,126.66715647820506,0.0,0.0,0.0,0.0,0.0,0.0,16.428564,-1.2316754,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0,0,37.24636014650953,126.66715647820506,0.0,0.0,0.0,0.0,0.0,0.0,16.428564,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,2,0,0,0,0,0,0,1,0,0,0,0,37.2463585,126.66715719999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
675763121,0,37.24636033049474,126.66715645500912,0.0,0.0,0.0,0.0,0.0,0.0,16.682627,-1.2302231,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0,0,37.24636014650953,126.66715647820506,0.0,0.0,0.0,0.0,0.0,0.0,16.051,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,2,0,0,0,0,0,0,1,0,0,0,0,37.2463585,126.66715719999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
698722160,0,37.24636033049474,126.66715645500912,0.0,0.0,0.0,0.0,0.0,0.0,16.682627,-1.2302231,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2339675,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,4,0,0,0,0,1,0,1,0,0,0,0,37.2463585,126.66715719999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
718230180,0,37.24636033049474,126.66715645500912,0.0,0.0,0.0,0.0,0.0,0.0,16.682627,-1.2302231,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2339675,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,5,0,0,0,0,1,0,1,0,0,0,0,37.2463585,126.66715719999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
724369494,0,37.24636033049474,126.66715645500912,0.0,0.0,0.0,0.0,0.0,0.0,16.682627,-1.2302231,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2339675,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,5,0,0,0,0,1,0,1,0,0,0,0,37.2463585,126.66715719999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
