timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
340441189,0.022948096,0.025456758,-0.0034559018,3.0548075e-05,-1.0712461e-05,0.0,0.0
340473179,-0.0048341076,0.022058394,0.0039591864,3.0548075e-05,-1.0712461e-05,0.0,0.0
340505338,0.0062931944,-0.033125453,0.007066105,3.0548075e-05,-1.0712461e-05,0.0,0.0
340537145,-0.012978471,-0.019933771,0.010728334,3.0548075e-05,-1.0712461e-05,0.0,0.0
340569207,-0.006402339,0.011734958,0.012398711,3.0548075e-05,-1.0712461e-05,0.0,0.0
340601144,0.009052772,0.0021093967,-0.007393023,3.0548075e-05,-1.0712461e-05,0.0,0.0
340633203,-0.0011702363,-0.003486148,-0.010090294,0.00011320448,-4.4688608e-05,0.0,0.0
340665112,0.070752695,0.03179801,-0.045589868,0.00016513708,-0.0001169119,0.0,0.0
340697040,0.069824316,0.09350693,-0.037506934,0.00017546926,-0.00027196243,0.0,0.0
340729166,0.103053614,0.11184807,-0.004033065,0.00017025099,-0.0004874058,0.0,0.0
340761356,0.0969311,0.15772617,0.011729167,0.0001309813,-0.0007576501,0.0,0.0
340793177,0.12388058,0.14412586,-0.009432188,6.395057e-05,-0.0010617877,0.0,0.0
340825088,0.12217534,0.122416385,-0.04854217,-5.2599375e-05,-0.0013841756,0.0,0.0
340857073,-0.008706209,0.0770613,-0.09187716,-0.0001196027,-0.0017137816,0.0,0.0
340889150,-0.037289497,0.010568415,-0.10928974,-0.00012718112,-0.0019726425,0.0,0.0
340921152,-0.042762827,0.019760776,-0.13629654,-0.00013459961,-0.0022409856,0.0,0.0
340953033,-0.014253279,0.018204087,-0.15585211,-0.00014903411,-0.002528569,0.0,0.0
340985125,0.07393165,-0.010673383,-0.18381558,-0.00025770947,-0.002809374,0.0,0.0
341017133,0.029178273,-0.015038909,-0.19757968,-0.000382257,-0.0030779222,0.0,0.0
341049240,-0.04565183,-0.01727314,-0.20583075,-0.00045756827,-0.003353168,0.0,0.0
341081117,-0.114776544,-0.0092449095,-0.21247964,-0.00043859862,-0.00363943,0.0,0.0
341113175,-0.09703501,-0.026697926,-0.22977702,-0.00039145935,-0.0039457325,0.0,0.0
341145911,-0.053936124,-0.0883254,-0.24142845,-0.00036247345,-0.0042111413,0.0,0.0
341177973,-0.06831559,-0.12990156,-0.24282008,-0.00033597637,-0.0044127675,0.0,0.0
341210017,-0.061050206,-0.13200708,-0.25531712,-0.00031188596,-0.0045829937,0.0,0.0
341241906,-0.06837171,-0.13219088,-0.25303748,-0.00028552033,-0.0047417586,0.0,0.0
341273963,-0.072910644,-0.14047796,-0.25093105,-0.0002454875,-0.0048819496,0.0,0.0
341305949,-0.083976366,-0.1375946,-0.2538698,-0.00019272247,-0.0050077904,0.0,0.0
341338015,-0.07740194,-0.1310379,-0.25108856,-0.00014883807,-0.0051349066,0.0,0.0
341369982,-0.038458537,-0.11113513,-0.25211722,-0.000121711164,-0.005265072,0.0,0.0
341401945,-0.04807916,-0.10348162,-0.23644426,-0.00010121448,-0.0053962218,0.0,0.0
341433936,-0.05595409,-0.102768645,-0.23633265,-7.9863275e-05,-0.0055205906,0.0,0.0
341465974,-0.05050796,-0.08760266,-0.22455348,-5.5613982e-05,-0.005645288,0.0,0.0
341497930,-0.05459496,-0.073938355,-0.22301452,-2.238427e-05,-0.0057744225,0.0,0.0
341529865,-0.05858521,-0.056217786,-0.20372729,1.3240123e-05,-0.005909802,0.0,0.0
341561950,-0.0648044,-0.05414767,-0.19081607,4.9617167e-05,-0.0060439482,0.0,0.0
341594037,-0.049788766,-0.05067155,-0.18212761,7.900627e-05,-0.0061732284,0.0,0.0
341625949,-0.061956998,-0.04780986,-0.16570666,0.000107272965,-0.0062938547,0.0,0.0
341657979,-0.04581946,-0.04354647,-0.15110154,0.00012239057,-0.00640768,0.0,0.0
341689925,-0.04668476,-0.04454507,-0.13663755,0.0001412191,-0.0065129935,0.0,0.0
341722034,-0.04242416,-0.044924535,-0.12696403,0.00016263143,-0.006613324,0.0,0.0
341753938,-0.038703833,-0.027377177,-0.11582411,0.00018943401,-0.006717938,0.0,0.0
341785942,-0.04887971,-0.022866175,-0.10292387,0.0002230141,-0.0068268003,0.0,0.0
341817914,-0.06069094,-0.0067199646,-0.08662007,0.00026298317,-0.006943098,0.0,0.0
341849917,-0.036964066,-0.007553239,-0.07626293,0.0002961907,-0.0070599155,0.0,0.0
341881881,-0.037798796,-0.0042258142,-0.07293588,0.0003323057,-0.00717387,0.0,0.0
341913872,-0.022110503,-0.0048618712,-0.059956245,0.00036397614,-0.0072866594,0.0,0.0
341945991,-0.043446362,0.012882925,-0.054284085,0.0003975515,-0.0074061863,0.0,0.0
341978020,-0.03147172,0.027688533,-0.040630266,0.0004203427,-0.0075361906,0.0,0.0
