timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
340120524,inf,0,0,0,0
341137494,inf,0,0,0,0
342148526,inf,0,0,0,0
343168480,inf,0,0,0,0
344179528,inf,0,0,0,0
345192991,inf,0,0,0,0
346209809,inf,0,0,0,0
347213497,inf,0,0,0,0
348218567,inf,0,0,0,0
349234546,inf,0,0,0,0
350236821,inf,0,0,0,0
351237530,inf,0,0,0,0
352250948,inf,0,0,0,0
353258094,inf,0,0,0,0
354265985,inf,0,0,0,0
355283552,inf,0,0,0,0
356286854,inf,0,0,0,0
357307612,inf,0,0,0,0
358311557,inf,0,0,0,0
360335154,inf,0,0,0,0
361335348,inf,0,0,0,0
362346988,inf,0,0,0,0
363368118,inf,0,0,0,0
364382246,inf,0,0,0,0
365383009,inf,0,0,0,0
366401373,inf,0,0,0,0
367405385,inf,0,0,0,0
368416762,inf,0,0,0,0
369426529,inf,0,0,0,0
370437924,inf,0,0,0,0
371442359,inf,0,0,0,0
372445956,inf,0,0,0,0
373450002,inf,0,0,0,0
374458130,inf,0,0,0,0
375466982,inf,0,0,0,0
376467111,inf,0,0,0,0
377480514,inf,0,0,0,0
378499625,inf,0,0,0,0
379501478,inf,0,0,0,0
380515112,inf,0,0,0,0
381523193,inf,0,0,0,0
382539846,inf,0,0,0,0
383544775,inf,0,0,0,0
384564073,inf,0,0,0,0
385581286,inf,0,0,0,0
386599039,inf,0,0,0,0
387617741,inf,0,0,0,0
388629005,inf,0,0,0,0
389649259,inf,0,0,0,0
390657107,inf,0,0,0,0
391673535,inf,0,0,0,0
392676799,inf,0,0,0,0
393679617,inf,0,0,0,0
394690381,inf,0,0,0,0
395710588,inf,0,0,0,0
396725569,inf,0,0,0,0
397731184,inf,0,0,0,0
398744519,inf,0,0,0,0
399766725,inf,0,0,0,0
400779767,inf,0,0,0,0
401783596,inf,0,0,0,0
402787737,inf,0,0,0,0
403804019,inf,0,0,0,0
404824478,inf,0,0,0,0
405829509,inf,0,0,0,0
406831566,inf,0,0,0,0
407840607,inf,0,0,0,0
408857544,inf,0,0,0,0
409863955,inf,0,0,0,0
410868669,inf,0,0,0,0
411870558,inf,0,0,0,0
412873505,inf,0,0,0,0
413878780,inf,0,0,0,0
414887051,inf,0,0,0,0
415890172,inf,0,0,0,0
416901599,inf,0,0,0,0
417901969,inf,0,0,0,0
418905903,inf,0,0,0,0
419915564,inf,0,0,0,0
420934908,inf,0,0,0,0
421948511,inf,0,0,0,0
422960484,inf,0,0,0,0
423979001,inf,0,0,0,0
424979697,inf,0,0,0,0
426000131,inf,0,0,0,0
427015863,inf,0,0,0,0
428035530,inf,0,0,0,0
429035536,inf,0,0,0,0
430047754,inf,0,0,0,0
431061478,inf,0,0,0,0
432076553,inf,0,0,0,0
433086902,inf,0,0,0,0
434104770,inf,0,0,0,0
435114570,inf,0,0,0,0
436120721,inf,0,0,0,0
437136969,inf,0,0,0,0
438141928,inf,0,0,0,0
439146534,inf,0,0,0,0
440162553,inf,0,0,0,0
441170185,inf,0,0,0,0
442174568,inf,0,0,0,0
443178518,inf,0,0,0,0
444199883,inf,0,0,0,0
445220497,inf,0,0,0,0
446239046,inf,0,0,0,0
447255557,inf,0,0,0,0
448267141,inf,0,0,0,0
449283233,inf,0,0,0,0
450296362,inf,0,0,0,0
451312481,inf,0,0,0,0
452315983,inf,0,0,0,0
453318829,inf,0,0,0,0
454332968,inf,0,0,0,0
455348510,inf,0,0,0,0
456364720,inf,0,0,0,0
457366013,inf,0,0,0,0
458386577,inf,0,0,0,0
459397115,inf,0,0,0,0
460402608,inf,0,0,0,0
461418118,inf,0,0,0,0
462422749,inf,0,0,0,0
463442964,inf,0,0,0,0
464460509,inf,0,0,0,0
465471056,inf,0,0,0,0
466488504,inf,0,0,0,0
467495625,inf,0,0,0,0
468507554,inf,0,0,0,0
469527360,inf,0,0,0,0
470547773,inf,0,0,0,0
471562846,inf,0,0,0,0
472564470,inf,0,0,0,0
473583954,inf,0,0,0,0
474601480,inf,0,0,0,0
475602849,inf,0,0,0,0
476604828,inf,0,0,0,0
477613492,inf,0,0,0,0
478614034,inf,0,0,0,0
479630569,inf,0,0,0,0
480634123,inf,0,0,0,0
481645967,inf,0,0,0,0
482655602,inf,0,0,0,0
483665997,inf,0,0,0,0
484672563,inf,0,0,0,0
485682929,inf,0,0,0,0
486699598,inf,0,0,0,0
487718717,inf,0,0,0,0
488735962,inf,0,0,0,0
489755555,inf,0,0,0,0
490772205,inf,0,0,0,0
491772895,inf,0,0,0,0
492786979,inf,0,0,0,0
493798909,inf,0,0,0,0
