timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
340441460,27362316,37.2462541,126.66716430000001,0.36077118,-0.07815522,-1.6981936,0.003000069,-0.0025736534,0.0,0.0021472406,0.0069616777,-0.0018868843,0.0115921525,0.017319478,-0.010825403,0.11023111,-1.4758341,-0.5329572,0.35006073,-1.0118425,3.4813788,0.107902765,0.0018868843,0.32348812,0.23665838,0.15341447,0.10420879,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
340541386,27362316,37.2462541,126.66716430000001,0.36388114,-0.0814818,-1.6980208,0.003000069,-0.0025736534,0.0,0.0029309927,-0.0055799093,-0.00027677976,0.012284929,0.017319478,-0.010825403,0.11023111,-1.4022455,-0.8413468,0.4513144,-1.0113252,3.4813788,0.10773003,0.00027677976,0.33458692,0.23604324,0.15768383,0.10436134,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
340645583,27362316,37.2462541,126.66716430000001,0.36703172,-0.0836478,-1.7014596,0.003000069,-0.0025736534,0.0,0.014883539,0.024777485,-0.02429287,-0.01574243,0.017319478,-0.010825403,0.11023111,1.9486198,0.63200593,-1.1803232,-1.0123649,3.4813788,0.11116886,0.02429287,0.3234322,0.23638128,0.15344311,0.10411562,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
340745316,27362316,37.2462541,126.66716430000001,0.3720853,-0.082204595,-1.7081358,0.003000069,-0.0025736534,0.0,0.0068554357,0.07412897,-0.08538025,-0.08039185,0.017319478,-0.010825403,0.11023111,-1.0920913,-0.26554963,-0.7417027,-1.0158263,3.4813788,0.11784506,0.08538025,0.3354655,0.2364423,0.15809256,0.10447769,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
340845438,27362316,37.2462541,126.66716430000001,0.3755911,-0.07525904,-1.7307321,0.003000069,-0.0025736534,0.0,0.010349883,0.12261031,-0.336663,-0.33536613,0.017319478,-0.010825403,0.11023111,-0.5122832,-0.24398848,-5.109289,-1.0188028,3.4813788,0.1404413,0.336663,0.3232737,0.23454995,0.15354566,0.10363816,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
340949783,27362316,37.2462541,126.66716430000001,0.3809285,-0.06387581,-1.7915093,0.003000069,-0.0025736534,0.0,0.02899955,0.19097634,-0.6866744,-0.6930352,0.017319478,-0.010825403,0.11023111,1.5294465,0.89067626,-2.7379525,-1.0316801,3.4813788,0.20121849,0.6866744,0.33530498,0.23630579,0.15869172,0.104457304,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
341049789,27362316,37.2462541,126.66716430000001,0.38760746,-0.045095127,-1.8958373,0.003000069,-0.0025736534,0.0,0.040884435,0.26082814,-1.0506749,-1.0724435,0.017319478,-0.010825403,0.11023111,-0.3130946,0.76693547,-3.0740974,-1.0506614,3.4813788,0.30554652,1.0506749,0.32405192,0.23507395,0.15603851,0.10382759,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
341150210,27362316,37.2462541,126.66716430000001,0.39435282,-0.019523581,-2.030582,0.003000069,-0.0025736534,0.0,0.053374283,0.32245252,-1.3654993,-1.3974565,0.017319478,-0.010825403,0.11023111,2.1860073,1.5711052,-4.0981007,-1.0733956,3.4813788,0.44029117,1.3654993,0.3352876,0.23615012,0.16265261,0.10444344,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
341254157,27362316,37.2462541,126.66716430000001,0.40218142,0.012193236,-2.196989,0.003000069,-0.0025736534,0.0,0.0595522,0.3666228,-1.6576153,-1.6944798,0.017319478,-0.010825403,0.11023111,0.91354406,0.6759528,-5.270891,-1.0990973,3.4813788,0.6066983,1.6576153,0.32389048,0.23647425,0.16060707,0.10421035,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
341354154,27362316,37.2462541,126.66716430000001,0.41178313,0.041732784,-2.3791716,0.003000069,-0.0025736534,0.0,0.065513216,0.3915718,-1.9017051,-1.9380797,0.017319478,-0.010825403,0.11023111,0.33334294,0.7995678,-3.0560362,-1.1240149,3.4813788,0.7888808,1.9017051,0.33633953,0.23820141,0.16822241,0.10500814,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
341454224,27362316,37.2462541,126.66716430000001,0.4242934,0.074391976,-2.5825849,0.003000069,-0.0025736534,0.0,0.071185336,0.39502645,-2.0900376,-2.1254337,0.017319478,-0.010825403,0.11023111,-0.3295326,-0.026221603,-3.8109155,-1.147949,3.4813788,0.9922941,2.0900376,0.3240987,0.23779832,0.16549587,0.10454791,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
341558560,27362316,37.2462541,126.66716430000001,0.44577622,0.106980816,-2.8005986,0.003000069,-0.0025736534,0.0,0.078756236,0.3909104,-2.19213,-2.2179444,0.017319478,-0.010825403,0.11023111,-0.56730604,0.2550494,1.240262,-1.1695347,3.4813788,1.2103078,2.19213,0.3366297,0.23774232,0.17280743,0.10489039,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
341658240,27362316,37.2462541,126.66716430000001,0.47058734,0.13842763,-3.0110927,0.003000069,-0.0025736534,0.0,0.09391349,0.37111804,-2.2475636,-2.2590384,0.017319478,-0.010825403,0.11023111,-1.1344273,-1.0699948,-1.4649792,-1.1867337,3.4813788,1.4208019,2.2475636,0.32549906,0.23799005,0.1694805,0.10463417,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
341762201,27362316,37.2462541,126.66716430000001,0.4989389,0.17061329,-3.2337008,0.003000069,-0.0025736534,0.0,0.104992375,0.3519681,-2.2579982,-2.2569962,0.017319478,-0.010825403,0.11023111,-0.8651198,-0.05076807,0.38143435,-1.2001917,3.4813788,1.64341,2.2579982,0.33825055,0.23955852,0.17536703,0.10538238,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
341862421,27362316,37.2462541,126.66716430000001,0.5239329,0.20003475,-3.4501464,0.003000069,-0.0025736534,0.0,0.10757168,0.32907665,-2.2504742,-2.2409184,0.017319478,-0.010825403,0.11023111,-0.7687692,-0.43653488,1.274091,-1.2089846,3.4813788,1.8598557,2.2504742,0.325705,0.2390897,0.17003027,0.10489718,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
341962214,27362316,37.2462541,126.66716430000001,0.55061764,0.2262328,-3.6663845,0.003000069,-0.0025736534,0.0,0.11420683,0.30251065,-2.2496824,-2.2334986,0.017319478,-0.010825403,0.11023111,1.0121095,-1.1154674,-1.0865433,-1.215002,3.4813788,2.0760937,2.2496824,0.33851844,0.23894522,0.17540161,0.10520612,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
342066184,27362316,37.2462541,126.66716430000001,0.5739272,0.25287446,-3.890346,0.003000069,-0.0025736534,0.0,0.107034534,0.27764365,-2.2446284,-2.221624,0.017319478,-0.010825403,0.11023111,-1.4428153,-0.78226095,1.2597705,-1.218504,3.4813788,2.3000553,2.2446284,0.32672772,0.23911983,0.17001711,0.10491573,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
342166308,27362316,37.2462541,126.66716430000001,0.5930489,0.27737656,-4.1086073,0.003000069,-0.0025736534,0.0,0.10257904,0.25746804,-2.253897,-2.2275078,0.017319478,-0.010825403,0.11023111,-1.4166831,-0.29420334,-0.9701641,-1.2196774,3.4813788,2.5183165,2.253897,0.33859938,0.23999032,0.1751009,0.10546413,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
342266259,27362316,37.2462541,126.66716430000001,0.61001533,0.30134672,-4.3259244,0.003000069,-0.0025736534,0.0,0.096602745,0.23701349,-2.2583156,-2.2273703,0.017319478,-0.010825403,0.11023111,1.5423921,0.32241923,-0.8480383,-1.2190677,3.4813788,2.7356336,2.2583156,0.32669008,0.23837921,0.17007212,0.10469891,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
342370620,27362316,37.2462541,126.66716430000001,0.6248383,0.32684773,-4.5552444,0.003000069,-0.0025736534,0.0,0.0830049,0.22019897,-2.2631814,-2.230549,0.017319478,-0.010825403,0.11023111,0.060642637,0.6773494,-0.22577983,-1.2167829,3.4813788,2.9649537,2.2631814,0.3395996,0.2416219,0.17588033,0.10589217,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
342474201,27362316,37.2462541,126.66716430000001,0.6382617,0.3474115,-4.788367,0.003000069,-0.0025736534,0.0,0.07098617,0.20071524,-2.2687833,-2.2377858,0.017319478,-0.010825403,0.11023111,-2.037199,-0.5310715,0.26841795,-1.2139546,3.4813788,3.198076,2.2687833,0.32788494,0.23993704,0.17122239,0.105116256,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
342574249,27362316,37.2462541,126.66716430000001,0.64930505,0.3638707,-5.0137916,0.003000069,-0.0025736534,0.0,0.06438765,0.18299031,-2.2735791,-2.2442622,0.017319478,-0.010825403,0.11023111,0.16308495,0.3029045,-0.10567041,-1.2107034,3.4813788,3.4235008,2.2735791,0.33987322,0.24080077,0.17658772,0.10566865,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
342678408,27362316,37.2462541,126.66716430000001,0.6566027,0.37999508,-5.2498584,0.003000069,-0.0025736534,0.0,0.05156908,0.16479068,-2.2847447,-2.2583125,0.017319478,-0.010825403,0.11023111,0.34119928,-0.40789413,-2.3207827,-1.2071663,3.4813788,3.6595676,2.2847447,0.32795048,0.2391546,0.17184146,0.10491901,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
342778308,27362316,37.2462541,126.66716430000001,0.65986687,0.39451995,-5.4753623,0.003000069,-0.0025736534,0.0,0.03241832,0.15004297,-2.287691,-2.2616875,0.017319478,-0.010825403,0.11023111,-1.2277615,-0.11808124,-0.35592666,-1.2040622,3.4813788,3.8850715,2.287691,0.3410066,0.24064101,0.17770278,0.10566584,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
342882140,27362316,37.2462541,126.66716430000001,0.66292894,0.40827647,-5.712274,0.003000069,-0.0025736534,0.0,0.021752287,0.13512976,-2.298303,-2.2739809,0.017319478,-0.010825403,0.11023111,0.14782135,0.5962082,-0.31131077,-1.2014124,3.4813788,4.1219835,2.298303,0.32897753,0.24067561,0.17284897,0.105344936,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
342982602,27362316,37.2462541,126.66716430000001,0.6653307,0.42024934,-5.9408717,0.003000069,-0.0025736534,0.0,0.012075119,0.116987,-2.3061118,-2.2828555,0.017319478,-0.010825403,0.11023111,-0.8359141,-0.6466421,-0.48207068,-1.1994865,3.4813788,4.350581,2.3061118,0.3410927,0.24145411,0.178308,0.10587597,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
343082195,27362316,37.2462541,126.66716430000001,0.66505164,0.43268806,-6.1735654,0.003000069,-0.0025736534,0.0,0.0007919101,0.10658768,-2.3076386,-2.289349,0.017319478,-0.010825403,0.11023111,-0.9699665,0.21119732,0.0036870427,-1.1980243,3.4813788,4.583275,2.3076386,0.32919368,0.2414229,0.17354803,0.105538234,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
343186273,27362316,37.2462541,126.66716430000001,0.6630359,0.44452053,-6.415534,0.003000069,-0.0025736534,0.0,-0.009741135,0.090259075,-2.318715,-2.3038201,0.017319478,-0.010825403,0.11023111,0.3953792,0.28489354,-1.5353286,-1.1966941,3.4813788,4.825243,2.318715,0.34242022,0.24277611,0.17939964,0.1062356,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
343286102,27362316,37.2462541,126.66716430000001,0.66031456,0.4537315,-6.646208,0.003000069,-0.0025736534,0.0,-0.021395296,0.07347039,-2.3227122,-2.3081603,0.017319478,-0.010825403,0.11023111,-1.6360004,-0.93110925,0.37243944,-1.1959633,3.4813788,5.055917,2.3227122,0.32901093,0.2420015,0.17371736,0.10565281,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
343390197,27362316,37.2462541,126.66716430000001,0.6566985,0.4613502,-6.894095,0.003000069,-0.0025736534,0.0,-0.026262932,0.060526945,-2.3342206,-2.3269417,0.017319478,-0.010825403,0.11023111,-0.49647245,-0.21455646,-0.22174387,-1.1957831,3.4813788,5.3038044,2.3342206,0.3422669,0.24329862,0.17959653,0.106330566,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
343490259,27362316,37.2462541,126.66716430000001,0.65366197,0.4677259,-7.1356425,0.003000069,-0.0025736534,0.0,-0.030127974,0.047777068,-2.3454392,-2.3463225,0.017319478,-0.010825403,0.11023111,0.33850446,0.091420546,-1.2533842,-1.1957037,3.4813788,5.545352,2.3454392,0.32995147,0.24308634,0.17437653,0.10591987,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
343590204,27362316,37.2462541,126.66716430000001,0.6507417,0.47288865,-7.377512,0.003000069,-0.0025736534,0.0,-0.036335405,0.034855597,-2.3480563,-2.3555248,0.017319478,-0.010825403,0.11023111,-1.8356812,-0.14312859,1.1320432,-1.1956303,3.4813788,5.787221,2.3480563,0.34224382,0.24368574,0.17973597,0.106382005,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
343694204,27362316,37.2462541,126.66716430000001,0.6469387,0.47830772,-7.6302724,0.003000069,-0.0025736534,0.0,-0.036821924,0.021785596,-2.354079,-2.3682706,0.017319478,-0.010825403,0.11023111,-1.6468956,-0.3706772,-0.48620436,-1.1954756,3.4813788,6.039982,2.354079,0.32994452,0.24173349,0.17449938,0.10553696,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
343794384,27362316,37.2462541,126.66716430000001,0.6427763,0.48278382,-7.872543,0.003000069,-0.0025736534,0.0,-0.035208397,0.01352208,-2.3577325,-2.3764396,0.017319478,-0.010825403,0.11023111,1.1203151,0.24978302,-1.027489,-1.195247,3.4813788,6.2822523,2.3577325,0.3433252,0.24304564,0.18025482,0.10623871,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
343894245,27362316,37.2462541,126.66716430000001,0.63837874,0.48716384,-8.110588,0.003000069,-0.0025736534,0.0,-0.039543033,0.00026048534,-2.3589516,-2.377528,0.017319478,-0.010825403,0.11023111,-1.3451805,-1.2547442,0.48805207,-1.195034,3.4813788,6.520297,2.3589516,0.32991475,0.24229994,0.17439224,0.10568508,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
