timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
347311007,37.24628136401814,126.66716756327557,14.765648,-0.0,3.8237596,0.23239833,0.0070988894,-1.1726851,1.0547957,1.476605,0.0,2,0,0,0
347515174,37.24628863050104,126.667167824986,14.808034,-0.0,4.1047425,0.26550093,-0.02332783,-1.1819723,1.0552902,1.4764773,0.0,2,0,0,0
347723154,37.24629651524525,126.66716811338517,14.877886,-0.0,4.295931,0.2726351,-0.01578783,-1.1990929,1.0562304,1.4764556,0.0,2,0,0,0
347923751,37.24630442491092,126.6671683484289,14.962657,-0.0,4.4013886,0.24371095,-0.017740421,-1.2144469,1.056917,1.4763459,0.0,2,0,0,0
348127748,37.246312642390734,126.66716851107604,15.028102,-0.0,4.468861,0.2212251,0.07552492,-1.2227205,1.0580277,1.4766129,0.0,2,0,0,0
348327931,37.24632088370063,126.66716862273793,15.074647,-0.0,4.5514917,0.18463837,0.12804453,-1.2222815,1.0588593,1.476484,0.0,2,0,0,0
348531800,37.246329412643924,126.66716867626165,15.10334,-0.0,4.603044,0.16293606,0.20246102,-1.2137774,1.0597014,1.4766271,0.0,2,0,0,0
348739812,37.24633823699533,126.66716870732685,15.088207,-0.0,4.6595817,0.17033125,0.25608134,-1.2026465,1.060768,1.4768441,0.0,2,0,0,0
348940368,37.24634679491467,126.66716888303831,15.045361,-0.0,4.710272,0.21128137,0.2608256,-1.1940076,1.0614184,1.4769624,0.0,2,0,0,0
349143985,37.2463556573633,126.66716923346158,14.993234,-0.0,4.74993,0.26086396,0.14225458,-1.1892395,1.0623914,1.4769014,0.0,2,0,0,0
349344136,37.246364564393105,126.66716952321374,14.940464,-0.0,4.7604456,0.28685182,0.13673972,-1.1864266,1.0630137,1.4767363,0.0,2,0,0,0
349548369,37.24637367954266,126.66716984335496,14.894467,-0.0,4.793707,0.29604748,0.052400965,-1.1846372,1.0637835,1.4768813,0.0,2,0,0,0
349751820,37.24638278952052,126.66717010990732,14.877504,-0.0,4.7931094,0.29926506,-0.021941753,-1.1840358,1.0654978,1.476887,0.0,2,0,0,0
349955722,37.246391857481626,126.66717039083268,14.874025,-0.0,4.7875013,0.30988288,-0.05505108,-1.1830106,1.0669194,1.4770623,0.0,2,0,0,0
350155815,37.24640069632747,126.66717066345736,14.862364,-0.0,4.816464,0.3532081,-0.083528966,-1.1783012,1.0685635,1.4769634,0.0,2,0,0,0
350359800,37.24640973067687,126.6671711086957,14.850495,-0.0,4.83747,0.4102994,-0.09849586,-1.1695806,1.0706426,1.4769665,0.0,2,0,0,0
350560150,37.24641857234439,126.66717158715736,14.840386,-0.0,4.8903575,0.45529103,-0.042166032,-1.163337,1.0717915,1.4770803,0.0,2,0,0,0
350763785,37.246427627260466,126.66717212569274,14.83869,-0.0,4.9304113,0.49782443,-0.0027174354,-1.1596062,1.07314,1.477225,0.0,2,0,0,0
350963776,37.24643649975229,126.66717263225414,14.820049,-0.0,4.9632955,0.5109535,0.0011961621,-1.1617255,1.0741751,1.4770274,0.0,2,0,0,0
351164696,37.24644537516014,126.66717317703942,14.783537,-0.0,4.9880967,0.52553076,0.044264913,-1.1687332,1.0757662,1.477187,0.0,2,0,0,0
351368563,37.24645440151613,126.66717380959457,14.7429695,-0.0,4.9964137,0.5112769,-0.07744531,-1.1810507,1.0776716,1.4768771,0.0,2,0,0,0
351568574,37.24646320158714,126.66717437123619,14.709479,-0.0,5.0007086,0.49655738,-0.10240802,-1.1927416,1.0792351,1.4770336,0.0,2,0,0,0
351768644,37.246472029806526,126.66717491957594,14.680118,-0.0,5.020196,0.46506277,-0.16797839,-1.2021194,1.0814114,1.4772273,0.0,2,0,0,0
351972731,37.24648107858175,126.66717546878183,14.654368,-0.0,5.0093813,0.45600387,-0.22939123,-1.2078451,1.0825998,1.4773197,0.0,2,0,0,0
352176659,37.24649014938167,126.66717603753946,14.609845,-0.0,5.0112762,0.4591258,-0.25351492,-1.2114645,1.084075,1.4772198,0.0,2,0,0,0
352380999,37.24649919376566,126.66717665076463,14.562224,-0.0,5.0070124,0.45741633,-0.24975185,-1.2112525,1.0854944,1.4770604,0.0,2,0,0,0
352580995,37.24650807816177,126.66717719838104,14.512091,-0.0,5.018969,0.43911973,-0.29229417,-1.2141689,1.0869806,1.4769138,0.0,2,0,0,0
352784558,37.246517217351496,126.66717762416683,14.498011,-0.0,5.0196967,0.4221353,-0.32838535,-1.2169247,1.0890054,1.4774563,0.0,2,0,0,0
352984667,37.24652605443908,126.6671781848215,14.516405,-0.0,5.0390058,0.41581026,-0.33346924,-1.2200832,1.0899285,1.4772153,0.0,2,0,0,0
353188617,37.2465350116505,126.66717882738911,14.564824,-0.0,5.0502653,0.4206391,-0.33869815,-1.2235284,1.091542,1.4773355,0.0,2,0,0,0
353388787,37.246543847262885,126.66717950780354,14.6026745,-0.0,5.049914,0.42271677,-0.3092168,-1.2235333,1.0923553,1.4774017,0.0,2,0,0,0
353588644,37.24655275989311,126.66718032783169,14.640469,-0.0,5.0618873,0.4214421,-0.2627119,-1.2212763,1.0937492,1.4774925,0.0,2,0,0,0
353792632,37.246561924503816,126.66718114224675,14.661336,-0.0,5.080443,0.41326055,-0.20180604,-1.2196555,1.0955797,1.4773936,0.0,2,0,0,0
353996710,37.246571169563026,126.66718187070354,14.677957,-0.0,5.0791078,0.40736562,-0.16907431,-1.2165306,1.0962948,1.4771597,0.0,2,0,0,0
354196921,37.246580481862765,126.66718267427895,14.669659,-0.0,5.1159625,0.4093178,-0.17324176,-1.2170234,1.097771,1.4772724,0.0,2,0,0,0
354401081,37.24658998775349,126.66718346714647,14.663091,-0.0,5.127477,0.39925575,-0.21593931,-1.2213244,1.0997686,1.4774866,0.0,2,0,0,0
354601153,37.2465992522301,126.66718429257891,14.663258,-0.0,5.1394124,0.38803697,-0.24676506,-1.2261531,1.1010801,1.4775727,0.0,2,0,0,0
354805417,37.246608890371974,126.66718504614562,14.656728,-0.0,5.166734,0.3585345,-0.23025502,-1.2299695,1.102374,1.4776465,0.0,2,0,0,0
355009345,37.246618601655115,126.667185668096,14.643695,-0.0,5.219197,0.33915603,-0.24708284,-1.2328806,1.103416,1.4774895,0.0,2,0,0,0
355209418,37.24662812905599,126.66718615424688,14.630254,-0.0,5.2220006,0.32268128,-0.22196333,-1.2325776,1.1038601,1.4775287,0.0,2,0,0,0
355413611,37.24663782394066,126.66718680731722,14.628856,-0.0,5.2371864,0.30309904,-0.25463152,-1.2352176,1.1042234,1.4772751,0.0,2,0,0,0
355617352,37.24664752421145,126.66718738398176,14.616502,-0.0,5.239941,0.2813507,-0.2723951,-1.2373765,1.1049336,1.4771644,0.0,2,0,0,0
