timestamp,roll,pitch,yaw,thrust
340441159,0.11246565,-0.041424908,0.002747267,0.36095926
340473136,0.119033605,-0.03801322,0.0025344775,0.38149235
340505309,0.11557168,-0.014754016,0.0024479833,0.3991859
340536996,0.13768536,-0.021248927,0.0016690148,0.41989666
340569163,0.11429824,-0.037033115,0.0006586341,0.440366
340601114,0.10044591,-0.039174363,0.0009882629,0.45918393
340633173,0.10510488,-0.033692263,0.0028348027,0.47572216
340664998,0.08251107,-0.067083254,0.0056520654,0.49533537
340697006,0.06263435,-0.092628665,0.010248689,0.5141196
340729101,0.045714956,-0.1165131,0.012691796,0.5279528
340761322,0.050223153,-0.15333176,0.012777095,0.5387437
340793131,0.017331585,-0.17787245,0.0122834835,0.5458647
340825008,-0.018211111,-0.20689623,0.01677551,0.54955274
340856992,-0.019689353,-0.23511828,0.023070227,0.5482242
340889096,-0.03902446,-0.24554092,0.03237683,0.547615
340921122,-0.03453141,-0.26242882,0.043655984,0.5464425
340952999,-0.051926844,-0.2801603,0.05585855,0.54313266
340985017,-0.07388207,-0.29311395,0.07153847,0.53779274
341017100,-0.08682667,-0.30365995,0.08782294,0.535178
341049196,-0.08672614,-0.3122324,0.10577522,0.53280294
341081010,-0.07883384,-0.32628042,0.124244325,0.53162587
341113146,-0.060701326,-0.32934383,0.14405146,0.5333985
341145803,-0.07072427,-0.32712,0.16484469,0.532791
341177943,-0.044168554,-0.32094195,0.18599159,0.5358557
341209973,-0.04481711,-0.30720097,0.20832211,0.5358131
341241799,-0.035722673,-0.2899681,0.23050791,0.53961384
341273919,-0.03574325,-0.27530897,0.25311342,0.5321189
341305920,-0.02540313,-0.26564884,0.2754348,0.51633865
341337986,-0.015201642,-0.2546782,0.29770094,0.50252455
341369933,-0.030766621,-0.24854586,0.31975535,0.48735267
341401915,-0.0351347,-0.24022855,0.3417063,0.47646928
341433907,-0.016088022,-0.22907752,0.36277294,0.4642895
341465945,-0.023750003,-0.22233309,0.38345096,0.45644185
341497795,-0.029409297,-0.21281196,0.4026794,0.44806507
341529835,-0.031616695,-0.20641857,0.42123392,0.44263846
341561916,-0.017914062,-0.19818616,0.43896827,0.439314
341593987,-0.032691866,-0.18471676,0.45568955,0.4354422
341625905,-0.025461616,-0.1740903,0.4719531,0.43300244
341657949,-0.034381397,-0.16414537,0.48600775,0.43100637
341689820,-0.041266065,-0.15447597,0.4996474,0.429984
341721991,-0.031844445,-0.14007993,0.51164174,0.42743674
341753904,-0.019033194,-0.13905299,0.5224031,0.4287977
341785840,-0.0065978854,-0.14058298,0.53171265,0.42903832
341817802,0.003813265,-0.13642181,0.5399899,0.4313184
341849887,-0.011935812,-0.1275899,0.5474354,0.43138102
341881801,-0.008026305,-0.12168714,0.55442613,0.432112
341913792,-0.009219828,-0.115317546,0.5603289,0.4331715
341945947,0.00086560706,-0.11902204,0.5652627,0.43487462
341977977,0.010635863,-0.12110965,0.5691329,0.43544897
342009801,0.0014458399,-0.120095715,0.5726973,0.43618008
342041922,-0.0066667837,-0.12510835,0.5752893,0.4360386
342073948,-0.00604299,-0.12789437,0.57776636,0.4371315
342105916,-0.0126001695,-0.127783,0.57934695,0.43645772
