timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
340441460,0.028641295,-0.016513163,0.005579886,0.87467873,-0.008295832,0.011279787,-0.4845009,0.90585804,0.00472709,0.011689381,-0.423394,1
340473810,0.016128764,0.008700052,-0.005570024,0.87468976,-0.008101282,0.011625079,-0.48447627,0.90585804,0.00472709,0.011689381,-0.423394,1
340505552,-0.006541296,0.014996196,-0.00075447536,0.8747156,-0.008343521,0.011396063,-0.48443082,0.90585804,0.00472709,0.011689381,-0.423394,1
340537396,-0.011017981,0.002627987,-0.002288894,0.8747771,-0.0087234415,0.011094674,-0.48432004,0.90585804,0.00472709,0.011689381,-0.423394,1
340569781,-0.07664321,0.022776974,-0.0035127196,0.8748479,-0.008814992,0.011251184,-0.4841867,0.90585804,0.00472709,0.011689381,-0.423394,1
340601507,-0.0030716462,-0.0053920955,-0.009228172,0.8748119,-0.008646095,0.011239285,-0.4842553,0.90585804,0.00472709,0.011689381,-0.423394,1
340633438,0.07573115,-0.04084609,0.0065549016,0.87467307,-0.008631729,0.011200541,-0.484507,0.90585804,0.00472709,0.011689381,-0.423394,1
340665547,0.08683359,0.049028125,-0.05525838,0.8743443,-0.007849474,0.011361809,-0.48510978,0.90585804,0.00472709,0.011689381,-0.423394,1
340697477,-0.037257854,0.08593006,-0.034741826,0.8739504,-0.006390568,0.012197081,-0.4858201,0.90585804,0.00472709,0.011689381,-0.423394,1
340729934,0.025904363,0.15978834,0.016210021,0.8737744,-0.0043204874,0.013209563,-0.4861329,0.90585804,0.00472709,0.011689381,-0.423394,1
340761772,0.08204637,0.17022038,-0.020606095,0.8737208,-0.0017084522,0.0146260355,-0.48620477,0.90585804,0.00472709,0.011689381,-0.423394,1
340793571,-0.022896867,0.20260786,-0.09047066,0.87366545,0.0008134936,0.015970225,-0.48626444,0.90585804,0.00472709,0.011689381,-0.423394,1
340825508,0.11021562,0.12414187,-0.049303036,0.87327415,0.0036780406,0.01676494,-0.48692682,0.90585804,0.00472709,0.011689381,-0.423394,1
340857315,0.012501945,0.0053459546,-0.14360924,0.8726078,0.004822497,0.017984143,-0.4880665,0.90585804,0.00472709,0.011689381,-0.423394,1
340889808,-0.1455311,-0.03439462,-0.16812544,0.8717372,0.004634825,0.018473458,-0.48960358,0.90585804,0.00472709,0.011689381,-0.423394,1
340921492,-0.039007816,-0.0073667406,-0.18357131,0.87070835,0.004460106,0.01903242,-0.4914112,0.90585804,0.00472709,0.011689381,-0.423394,1
340953490,0.1170534,-0.04128886,-0.25108021,0.8695131,0.004362666,0.019472457,-0.49350676,0.90585804,0.00472709,0.011689381,-0.423394,1
340985385,0.09284078,-0.09227736,-0.1826716,0.86816823,0.0049681044,0.01917908,-0.4958745,0.90585804,0.00472709,0.011689381,-0.423394,1
341017475,0.0206381,-0.092904635,-0.26210144,0.8666364,0.0053255893,0.01853098,-0.49856764,0.90585804,0.00472709,0.011689381,-0.423394,1
341049789,-0.10565967,0.0015649804,-0.23666993,0.8650478,0.004703956,0.01857608,-0.50132346,0.90585804,0.00472709,0.011689381,-0.423394,1
341081365,-0.12765807,-0.0781669,-0.22854029,0.8633501,0.0029291322,0.019122094,-0.50423455,0.90585804,0.00472709,0.011689381,-0.423394,1
341113423,-0.12265347,0.009529342,-0.1925623,0.8615576,0.0011347876,0.020054834,-0.50726235,0.90585804,0.00472709,0.011689381,-0.423394,1
341146183,-0.11621738,-0.09713735,-0.21218027,0.8595963,-0.00088437216,0.019784484,-0.51058996,0.90585804,0.00472709,0.011689381,-0.423394,1
341178269,-0.0046625016,-0.073832914,-0.23099777,0.85765237,-0.0028960404,0.018922,-0.5138735,0.90585804,0.00472709,0.011689381,-0.423394,1
341210419,-0.06925464,-0.09471503,-0.22657467,0.855596,-0.0051201214,0.01746701,-0.5173241,0.90585804,0.00472709,0.011689381,-0.423394,1
341242450,-0.08751308,-0.13876584,-0.25801075,0.8535163,-0.007094117,0.01613323,-0.52076817,0.90585804,0.00472709,0.011689381,-0.423394,1
341274422,-0.11196013,-0.1252961,-0.25636506,0.851387,-0.009301437,0.01487791,-0.52424437,0.90585804,0.00472709,0.011689381,-0.423394,1
341306302,-0.005707048,-0.1457772,-0.23957625,0.84927785,-0.011574959,0.013607337,-0.5276439,0.90585804,0.00472709,0.011689381,-0.423394,1
341338282,-0.064009495,-0.10300561,-0.24986805,0.84713423,-0.013673397,0.012455055,-0.531057,0.90585804,0.00472709,0.011689381,-0.423394,1
341370528,-0.0880506,-0.14598526,-0.21384121,0.84502274,-0.015456621,0.011166662,-0.5343903,0.90585804,0.00472709,0.011689381,-0.423394,1
341402173,-0.08584487,-0.056186635,-0.23023319,0.8428641,-0.01692548,0.010196589,-0.53776366,0.90585804,0.00472709,0.011689381,-0.423394,1
341434167,-0.036142282,-0.105862,-0.2751719,0.84077406,-0.018599156,0.009096479,-0.5409902,0.90585804,0.00472709,0.011689381,-0.423394,1
341466198,-0.023840383,-0.13741598,-0.20636158,0.83879167,-0.020218754,0.008240519,-0.54401463,0.90585804,0.00472709,0.011689381,-0.423394,1
341498195,-0.065787755,-0.0059664985,-0.19810912,0.8368796,-0.021729516,0.007594143,-0.5469029,0.90585804,0.00472709,0.011689381,-0.423394,1
341530283,-0.12384877,-0.06972977,-0.20650463,0.83501077,-0.023182828,0.007047154,-0.5497,0.90585804,0.00472709,0.011689381,-0.423394,1
341562180,-0.17563392,-0.03762319,-0.19230776,0.8332549,-0.024536766,0.006726399,-0.5523035,0.90585804,0.00472709,0.011689381,-0.423394,1
341594531,-0.100167684,-0.017640242,-0.19215947,0.83158827,-0.025414247,0.0060016094,-0.55477846,0.90585804,0.00472709,0.011689381,-0.423394,1
341626265,-0.09608374,-0.018244198,-0.16977492,0.82998025,-0.026595248,0.0057224436,-0.5571291,0.90585804,0.00472709,0.011689381,-0.423394,1
341658240,-0.20417649,-0.0791122,-0.16214658,0.82857376,-0.027632779,0.005131827,-0.559174,0.90585804,0.00472709,0.011689381,-0.423394,1
341690149,-0.12883428,0.017307686,-0.12558734,0.82722306,-0.028617788,0.0049498845,-0.56112266,0.90585804,0.00472709,0.011689381,-0.423394,1
341722601,-0.045339458,-0.014422212,-0.11156482,0.8260381,-0.02968026,0.0045569134,-0.5628138,0.90585804,0.00472709,0.011689381,-0.423394,1
341754209,0.06278001,-0.039018147,-0.096987374,0.82493615,-0.0304887,0.004381357,-0.5643861,0.90585804,0.00472709,0.011689381,-0.423394,1
341786367,0.022209326,-0.058065128,-0.09183171,0.8239551,-0.03144532,0.004503737,-0.5657641,0.90585804,0.00472709,0.011689381,-0.423394,1
341818173,-0.0820014,0.004844598,-0.09042067,0.8230953,-0.032219548,0.004763296,-0.56696844,0.90585804,0.00472709,0.011689381,-0.423394,1
341850269,-0.13902606,0.022994699,-0.09414818,0.8223363,-0.032807104,0.004947934,-0.56803375,0.90585804,0.00472709,0.011689381,-0.423394,1
341882123,-0.01847306,0.031418443,-0.06062642,0.82166237,-0.033273533,0.00509585,-0.56897974,0.90585804,0.00472709,0.011689381,-0.423394,1
341914268,0.014621751,-0.03855705,-0.02621666,0.8211098,-0.03371241,0.005193957,-0.5697503,0.90585804,0.00472709,0.011689381,-0.423394,1
341946234,0.104350254,-0.020005586,-0.044995863,0.8205569,-0.03396413,0.0054617315,-0.57052886,0.90585804,0.00472709,0.011689381,-0.423394,1
341978570,-0.07920769,0.012008748,-0.037372716,0.8201453,-0.0343905,0.0061939787,-0.5710871,0.90585804,0.00472709,0.011689381,-0.423394,1
342010188,-0.087564185,0.0837342,-0.03657992,0.8197908,-0.03423116,0.006704305,-0.57159996,0.90585804,0.00472709,0.011689381,-0.423394,1
342042313,-0.06247751,0.03646038,-0.034022536,0.8195205,-0.034085296,0.0071310136,-0.57199097,0.90585804,0.00472709,0.011689381,-0.423394,1
342074215,-0.05700883,0.052748356,-0.0046693236,0.8193006,-0.033898205,0.0077013425,-0.5723094,0.90585804,0.00472709,0.011689381,-0.423394,1
342106188,0.09064981,0.022226881,0.016540224,0.8191849,-0.033511546,0.00792677,-0.57249486,0.90585804,0.00472709,0.011689381,-0.423394,1
342138356,0.10671916,0.027667176,0.0035934122,0.81909364,-0.033386786,0.008350527,-0.57262653,0.90585804,0.00472709,0.011689381,-0.423394,1
342170123,0.035995208,-0.007219433,-0.018514957,0.81901336,-0.033276558,0.008732363,-0.57274204,0.90585804,0.00472709,0.011689381,-0.423394,1
342202200,0.061230745,0.032556567,0.016872002,0.8190473,-0.03347804,0.00923406,-0.5726739,0.90585804,0.00472709,0.011689381,-0.423394,1
342234175,-0.057093095,-0.023263464,0.009565705,0.8190921,-0.03364588,0.009543753,-0.57259506,0.90585804,0.00472709,0.011689381,-0.423394,1
342266259,-0.08050982,0.04481091,-0.015969409,0.8191961,-0.033672802,0.009643946,-0.57244307,0.90585804,0.00472709,0.011689381,-0.423394,1
342298620,-0.0676099,0.012665302,-0.005275977,0.8193761,-0.03370439,0.009801981,-0.57218087,0.90585804,0.00472709,0.011689381,-0.423394,1
342330206,-0.16850881,0.030324185,-0.0060539506,0.8195282,-0.03361573,0.009838838,-0.5719674,0.90585804,0.00472709,0.011689381,-0.423394,1
342362163,-0.01750799,-0.021454941,0.025223024,0.81978714,-0.03359966,0.009967994,-0.57159495,0.90585804,0.00472709,0.011689381,-0.423394,1
342394558,-0.13425745,-0.020177258,0.01703372,0.8199881,-0.03360747,0.010006693,-0.57130563,0.90585804,0.00472709,0.011689381,-0.423394,1
342426144,-0.012782953,0.04602713,0.025683438,0.820253,-0.033394054,0.010000587,-0.57093775,0.90585804,0.00472709,0.011689381,-0.423394,1
342458609,-0.028177831,-0.008152595,0.042263385,0.82055706,-0.033374775,0.009711293,-0.5705069,0.90585804,0.00472709,0.011689381,-0.423394,1
342490167,-0.008772173,0.021168169,0.070431545,0.8208154,-0.03342116,0.009644011,-0.57013357,0.90585804,0.00472709,0.011689381,-0.423394,1
342522216,0.061234366,-0.035360433,0.05357469,0.82112247,-0.03356298,0.009373687,-0.56968737,0.90585804,0.00472709,0.011689381,-0.423394,1
342554176,-0.055102393,-0.020143539,0.060989212,0.8214083,-0.033825222,0.009311233,-0.56926054,0.90585804,0.00472709,0.011689381,-0.423394,1
342586374,0.05508518,-0.014449844,0.053638764,0.8217005,-0.033974476,0.009204143,-0.5688315,0.90585804,0.00472709,0.011689381,-0.423394,1
342618339,-0.066948734,0.016748251,0.037717007,0.8219899,-0.034424003,0.009267131,-0.5683853,0.90585804,0.00472709,0.011689381,-0.423394,1
342650264,0.035142526,0.004413252,0.050783873,0.82229227,-0.034491394,0.009422905,-0.5679411,0.90585804,0.00472709,0.011689381,-0.423394,1
342682185,0.030282268,0.007875437,0.050786335,0.8226071,-0.034587305,0.0096165575,-0.567476,0.90585804,0.00472709,0.011689381,-0.423394,1
