timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
340441460,0.015567269,-0.009052286,0.004051476,-0.040904433,0.053407297,-0.16253662,0.0,0.0,0.0,0.007427454,0.0,0.0,0.0,0.0,0.0,0.2630441,0.26304317,0.57358235,0.54954123,0.5495398,4.056837,0.0,0.0,0.0,0.09014734,0.0,0.0,0.0,0.0,0.0,0.00015162994,0.0020046984,0.0076132845,0.0,0.0,0.0,0.0,0.0,0.0
340645583,-0.031635106,0.010924416,-0.007753233,-0.04687491,0.048387468,0.19786072,0.0,0.0,0.0,0.011332989,0.0,0.0,0.0,0.0,0.0,0.2631258,0.26312497,0.5735114,0.54852366,0.54852223,4.056701,0.0,0.0,0.0,0.090147346,0.0,0.0,0.0,0.0,0.0,0.0002175724,0.0049392064,0.013438385,0.0,0.0,0.0,0.0,0.0,0.0
340845438,0.0032620244,0.032507375,-0.057236508,-0.047656953,0.051382005,0.22821045,0.0,0.0,0.0,0.019784808,0.0,0.0,0.0,0.0,0.0,0.263145,0.263144,0.57349926,0.5457036,0.5457023,4.055781,0.0,0.0,0.0,0.090147525,0.0,0.0,0.0,0.0,0.0,0.0002469743,0.0054919906,0.015744444,0.0,0.0,0.0,0.0,0.0,0.0
341049789,0.0201843,0.010412253,-0.1440976,-0.040602386,0.04944919,-0.10812378,0.0,0.0,0.0,-0.0032738447,0.0,0.0,0.0,0.0,0.0,0.2633741,0.2633709,0.5734568,0.54253507,0.54253376,4.055728,0.0,0.0,0.0,0.09014761,0.0,0.0,0.0,0.0,0.0,0.00033709474,0.012737812,0.0414324,0.0,0.0,0.0,0.0,0.0,0.0
341250406,-0.032041702,0.12863453,-0.4706602,-0.041959703,0.068338715,0.12181091,0.0,0.0,0.0,0.026388407,0.0,0.0,0.0,0.0,0.0,0.26437324,0.26436237,0.5736243,0.5446642,0.54466265,4.057061,0.0,0.0,0.0,0.09014763,0.0,0.0,0.0,0.0,0.0,0.00060422585,0.010887694,0.019792536,0.0,0.0,0.0,0.0,0.0,0.0
341454224,-0.33065155,0.059962273,-0.43651843,-0.06875816,0.06753006,-0.12043762,0.0,0.0,0.0,-0.0030026436,0.0,0.0,0.0,0.0,0.0,0.26518124,0.26516354,0.5736579,0.5443965,0.54439443,4.057046,0.0,0.0,0.0,0.09014758,0.0,0.0,0.0,0.0,0.0,0.0015028499,0.024237635,0.03941574,0.0,0.0,0.0,0.0,0.0,0.0
341654237,-0.2525416,-0.016153365,-0.3064816,-0.10629821,0.053750545,-0.15509033,0.0,0.0,0.0,0.00077319145,0.0,0.0,0.0,0.0,0.0,0.26567134,0.2656538,0.57364386,0.5424424,0.5424395,4.057139,0.0,0.0,0.0,0.09014782,0.0,0.0,0.0,0.0,0.0,0.0022480018,0.030693438,0.05719809,0.0,0.0,0.0,0.0,0.0,0.0
341858185,-0.092190504,0.042847008,-0.08361077,-0.093455434,0.04342279,0.2541046,0.0,0.0,0.0,0.009651065,0.0,0.0,0.0,0.0,0.0,0.2660697,0.26605982,0.5736919,0.540632,0.5406282,4.057362,0.0,0.0,0.0,0.09014808,0.0,0.0,0.0,0.0,0.0,0.0016965155,0.02118158,0.04097805,0.0,0.0,0.0,0.0,0.0,0.0
342058545,0.05889827,-0.047909707,-0.0007107258,-0.07032293,0.03605254,-0.17485046,0.0,0.0,0.0,0.013683438,0.0,0.0,0.0,0.0,0.0,0.266084,0.26608452,0.5736957,0.5397184,0.53971446,4.0573764,0.0,0.0,0.0,0.09014818,0.0,0.0,0.0,0.0,0.0,0.00060466176,0.0090244375,0.025672253,0.0,0.0,0.0,0.0,0.0,0.0
342258824,0.0567463,-0.1227712,-0.07079935,-0.07669163,0.025927037,-0.0627594,0.0,0.0,0.0,0.0106060505,0.0,0.0,0.0,0.0,0.0,0.2660826,0.26609218,0.5737471,0.5369877,0.5369845,4.05785,0.0,0.0,0.0,0.09014808,0.0,0.0,0.0,0.0,0.0,0.0007870882,0.010099824,0.021933945,0.0,0.0,0.0,0.0,0.0,0.0
342458609,-0.01563812,0.12872013,-0.064431906,-0.053589523,0.029556751,0.03010559,0.0,0.0,0.0,0.015143037,0.0,0.0,0.0,0.0,0.0,0.26602522,0.26604074,0.5737112,0.5362527,0.5362506,4.0579896,0.0,0.0,0.0,0.090147994,0.0,0.0,0.0,0.0,0.0,0.00027429793,0.00224445,0.0031881882,0.0,0.0,0.0,0.0,0.0,0.0
342658606,0.14647429,-0.031154588,0.03691888,-0.040100873,0.025397748,-0.15713501,0.0,0.0,0.0,0.0075387955,0.0,0.0,0.0,0.0,0.0,0.2662349,0.26625654,0.5737092,0.5353459,0.5353457,4.0579214,0.0,0.0,0.0,0.090148136,0.0,0.0,0.0,0.0,0.0,0.00056179386,0.0104991635,0.0143898,0.0,0.0,0.0,0.0,0.0,0.0
342862150,-0.031003155,-0.011496976,0.054638624,-0.038057566,0.018210411,0.013671875,0.0,0.0,0.0,0.024794817,0.0,0.0,0.0,0.0,0.0,0.2663505,0.2663771,0.57376146,0.53401434,0.53401625,4.0583572,0.0,0.0,0.0,0.090148136,0.0,0.0,0.0,0.0,0.0,0.0003034367,0.00520482,0.008792145,0.0,0.0,0.0,0.0,0.0,0.0
343066262,0.08404242,-0.07004993,0.0895648,-0.025412083,0.0013807714,-0.045455933,0.0,0.0,0.0,0.00086188316,0.0,0.0,0.0,0.0,0.0,0.2662956,0.2663255,0.5738199,0.5305662,0.5305701,4.058738,0.0,0.0,0.0,0.09014809,0.0,0.0,0.0,0.0,0.0,0.0005280803,0.0115538845,0.02205114,0.0,0.0,0.0,0.0,0.0,0.0
343266078,0.031066384,0.015180789,0.21389127,-0.02865696,0.009573251,0.10430908,0.0,0.0,0.0,0.01869762,0.0,0.0,0.0,0.0,0.0,0.26665542,0.26668924,0.5738788,0.530419,0.5304262,4.059353,0.0,0.0,0.0,0.09014811,0.0,0.0,0.0,0.0,0.0,0.00038616188,0.007549517,0.014061742,0.0,0.0,0.0,0.0,0.0,0.0
343466202,-0.016668215,-0.02326613,-0.067961216,-0.030932605,-0.0012844801,0.16760254,0.0,0.0,0.0,0.011769414,0.0,0.0,0.0,0.0,0.0,0.2666033,0.26663837,0.57395726,0.528623,0.52863246,4.0599027,0.0,0.0,0.0,0.09014814,0.0,0.0,0.0,0.0,0.0,0.00023621703,0.009027004,0.024013432,0.0,0.0,0.0,0.0,0.0,0.0
343666172,0.04126666,-0.06348279,-0.081636906,-0.020014822,-0.0032221377,0.25526428,0.0,0.0,0.0,0.016881943,0.0,0.0,0.0,0.0,0.0,0.2666286,0.26666412,0.573869,0.5286216,0.5286336,4.059463,0.0,0.0,0.0,0.090148106,0.0,0.0,0.0,0.0,0.0,0.00046023264,0.010064555,0.026468946,0.0,0.0,0.0,0.0,0.0,0.0
343870318,0.042899664,-0.055964667,0.009457111,-0.028449833,-0.0146562755,0.24154663,0.0,0.0,0.0,0.008250356,0.0,0.0,0.0,0.0,0.0,0.2666302,0.26666513,0.5737966,0.527267,0.5272813,4.058853,0.0,0.0,0.0,0.09014802,0.0,0.0,0.0,0.0,0.0,0.0006494572,0.008854723,0.01800167,0.0,0.0,0.0,0.0,0.0,0.0
344074296,0.089533925,0.015793387,0.06886244,-0.0035685897,-0.011888385,0.1966095,0.0,0.0,0.0,-0.0035676956,0.0,0.0,0.0,0.0,0.0,0.2666024,0.2666359,0.5738308,0.52590185,0.52591836,4.059236,0.0,0.0,0.0,0.09014789,0.0,0.0,0.0,0.0,0.0,0.0006335307,0.01013076,0.022587715,0.0,0.0,0.0,0.0,0.0,0.0
344274967,0.1530684,0.01791649,0.12527752,0.0013102889,-0.0025697947,0.23678589,0.0,0.0,0.0,0.01968515,0.0,0.0,0.0,0.0,0.0,0.2666424,0.26667494,0.5739062,0.5249063,0.524925,4.0595026,0.0,0.0,0.0,0.09014789,0.0,0.0,0.0,0.0,0.0,0.00088479684,0.015183015,0.030875387,0.0,0.0,0.0,0.0,0.0,0.0
344474967,0.0051603056,-0.036951736,0.056151867,-0.00046426058,-0.0066666305,-0.11253357,0.0,0.0,0.0,-0.0024216175,0.0,0.0,0.0,0.0,0.0,0.26632547,0.26635605,0.5738065,0.52234375,0.5223628,4.058782,0.0,0.0,0.0,0.09014788,0.0,0.0,0.0,0.0,0.0,0.0005680916,0.008572373,0.017350035,0.0,0.0,0.0,0.0,0.0,0.0
344679515,0.017902933,0.092509195,0.11691952,-0.0117293,0.007560283,0.06556702,0.0,0.0,0.0,0.01431334,0.0,0.0,0.0,0.0,0.0,0.26633093,0.26636028,0.5737351,0.52300406,0.5230253,4.0582833,0.0,0.0,0.0,0.09014785,0.0,0.0,0.0,0.0,0.0,0.00036998696,0.006151619,0.011833556,0.0,0.0,0.0,0.0,0.0,0.0
344882967,0.07391323,-0.07361182,0.1404264,-0.022652566,0.0026995838,0.12071228,0.0,0.0,0.0,0.012083292,0.0,0.0,0.0,0.0,0.0,0.26604816,0.26607648,0.5737918,0.521575,0.52159745,4.058152,0.0,0.0,0.0,0.090147875,0.0,0.0,0.0,0.0,0.0,0.00019580402,0.006369029,0.0119085945,0.0,0.0,0.0,0.0,0.0,0.0
345083093,0.006647378,0.020748265,0.1086961,-0.02677089,-0.00094512105,0.59225464,0.0,0.0,0.0,0.0031023026,0.0,0.0,0.0,0.0,0.0,0.2658459,0.26587385,0.57375705,0.52008235,0.5201064,4.058234,0.0,0.0,0.0,0.09014791,0.0,0.0,0.0,0.0,0.0,0.00013866869,0.01287245,0.035449065,0.0,0.0,0.0,0.0,0.0,0.0
345283015,0.15040207,-0.113476165,0.2783593,-0.0038619637,-0.01309222,0.20196533,0.0,0.0,0.0,-0.0036432743,0.0,0.0,0.0,0.0,0.0,0.265904,0.26593006,0.5738061,0.51928115,0.51930755,4.057818,0.0,0.0,0.0,0.09014778,0.0,0.0,0.0,0.0,0.0,0.00051668566,0.015008376,0.032738306,0.0,0.0,0.0,0.0,0.0,0.0
345691112,-0.00335069,-0.29977307,0.119692504,0.006305486,-0.03206846,0.061294556,0.0,0.0,0.0,-0.014204621,0.0,0.0,0.0,0.0,0.0,0.26558352,0.26560563,0.5737504,0.51944906,0.519477,4.057722,0.0,0.0,0.0,0.090147376,0.0,0.0,0.0,0.0,0.0,0.0011432531,0.01934884,0.037256803,0.0,0.0,0.0,0.0,0.0,0.0
345895045,-0.12174526,0.15964046,-0.042328507,-0.0034110844,-0.015048921,0.13024902,0.0,0.0,0.0,0.005929947,0.0,0.0,0.0,0.0,0.0,0.26554433,0.2655655,0.5736648,0.52104527,0.52107465,4.0571055,0.0,0.0,0.0,0.090147376,0.0,0.0,0.0,0.0,0.0,0.00040635036,0.008050415,0.01954573,0.0,0.0,0.0,0.0,0.0,0.0
346095026,0.16304857,-0.017879516,0.102097526,0.016462088,-0.012992531,-0.19425964,0.0,0.0,0.0,-0.00814569,0.0,0.0,0.0,0.0,0.0,0.26538545,0.26540852,0.57373977,0.5236388,0.52366865,4.0568504,0.0,0.0,0.0,0.09014752,0.0,0.0,0.0,0.0,0.0,0.00010908444,0.00728902,0.017079292,0.0,0.0,0.0,0.0,0.0,0.0
346299417,-0.08659178,0.057793155,-0.047957808,0.00548625,-0.010103822,0.33876038,0.0,0.0,0.0,-0.025777817,0.0,0.0,0.0,0.0,0.0,0.26521316,0.2652639,0.5737154,0.5262956,0.52632624,4.056942,0.0,0.0,0.0,0.09014903,0.0,0.0,0.0,0.0,0.0,0.00025968335,0.005361214,0.01385239,0.0,0.0,0.0,0.0,0.0,0.0
346503159,0.022826135,0.09773834,-0.07886815,0.014982581,0.005756229,-0.098220825,0.0,0.0,0.0,-0.008490443,0.0,0.0,0.0,0.0,0.0,0.26497123,0.2651455,0.573757,0.52899903,0.52903455,4.057794,0.0,0.0,0.0,0.090150446,0.0,0.0,0.0,0.0,0.0,0.0004184925,0.007223591,0.011227611,0.0,0.0,0.0,0.0,0.0,0.0
346707115,-0.006091237,0.09886343,-0.1558406,0.0059893727,0.0063946545,0.3471222,-0.0074347854,-0.00709641,-2.4229288e-05,0.0020035505,0.0,0.0,0.0,0.0,0.0,0.26462024,0.26504552,0.57373524,0.5327563,0.5328082,4.057917,0.0035243942,0.0035179257,0.0035337773,0.090151,0.0,0.0,0.0,0.0,0.0,0.00048222387,0.008143699,0.014102464,0.0,0.0,0.0,0.0,0.0,0.0
346907168,0.015347362,0.1800545,-0.07612273,0.0023690462,0.025926113,0.8738251,-0.00018699467,-0.007545024,0.006503165,0.0020035505,0.0,0.0,0.0,0.0,0.0,0.26432666,0.26515424,0.57374656,0.5383462,0.53844166,4.0583196,0.0027755836,0.0027715447,0.0027787215,0.090151,0.0,0.0,0.0,0.0,0.0,0.00068588846,0.012555826,0.02344414,0.0,0.0,0.0,0.0,0.0,0.0
347111207,-0.003020525,0.20103596,-0.09699488,-0.013930917,0.040767,0.18766785,-0.0062829405,-0.0011143684,0.0059936643,0.0020035505,0.0,0.0,0.0,0.0,0.0,0.2639974,0.26527214,0.5737262,0.5506337,0.5507991,4.0584955,0.0026447887,0.0026416036,0.0026453608,0.090151,0.0,0.0,0.0,0.0,0.0,0.00086267764,0.015158959,0.03236816,0.0,0.0,0.0,0.0,0.0,0.0
347311007,0.07599163,0.21093407,-0.10042831,0.016192198,0.058940634,0.7787628,-0.0056302994,-0.006656587,0.0019109249,0.0020035505,0.0,0.0,0.0,0.0,0.0,0.26388568,0.26555815,0.5737092,0.568214,0.5684995,4.058036,0.0026002373,0.002606819,0.0026075442,0.090151,0.0,0.0,0.0,0.0,0.0,0.00096499844,0.018073535,0.043459725,0.0,0.0,0.0,0.0,0.0,0.0
347515174,0.011061907,0.18914314,-0.111850254,0.011391878,0.077288404,0.6103058,-0.0029215068,-0.003665477,0.0006349683,0.0020035505,0.0,0.0,0.0,0.0,0.0,0.26379755,0.2656428,0.5736788,0.58439136,0.58480716,4.057649,0.0025799463,0.0025949315,0.0025938842,0.090151,0.0,0.0,0.0,0.0,0.0,0.00095981685,0.01904218,0.04970444,0.0,0.0,0.0,0.0,0.0,0.0
347723154,-0.08073044,0.19228856,-0.06856313,0.0008659363,0.08811313,1.2556,-0.0015413463,0.003183633,-0.007922739,0.0020035505,0.0,0.0,0.0,0.0,0.0,0.26377535,0.26562518,0.57374966,0.6053498,0.60590124,4.0575833,0.0025656486,0.0025851254,0.002582338,0.090151,0.0,0.0,0.0,0.0,0.0,0.0010163103,0.02767868,0.08157649,0.0,0.0,0.0,0.0,0.0,0.0
