timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
342091349,-147.56297,35.86,103110.0,1.2251173
342111030,-147.47842,35.87,103109.0,1.2251055
342121436,-147.39915,35.87,103107.99,1.2250935
342131678,-147.47842,35.87,103109.0,1.2251055
342153445,-147.39915,35.87,103107.99,1.2250935
342163870,-147.39915,35.87,103107.99,1.2250935
342175651,-147.56297,35.87,103110.0,1.2251173
342199355,-147.81136,35.88,103113.0,1.225153
342211516,-147.23534,35.88,103105.99,1.2250698
342223532,-147.0715,35.88,103103.99,1.225046
342244584,-147.15077,35.87,103104.99,1.2250578
342254996,-147.15077,35.87,103104.99,1.2250578
342265452,-147.64754,35.87,103111.0,1.2251292
342287123,-146.74385,35.87,103100.0,1.2249986
342297446,-147.0715,35.87,103103.99,1.225046
342307457,-146.98695,35.87,103103.0,1.2250342
342329436,-147.0715,35.88,103103.99,1.225046
342340451,-147.3146,35.88,103106.99,1.2250817
342351114,-147.0715,35.88,103103.99,1.225046
342372217,-147.0715,35.88,103103.99,1.225046
342383005,-147.23534,35.88,103105.99,1.2250698
342395864,-146.6593,35.88,103099.0,1.2249867
342420492,-147.0715,35.88,103103.99,1.225046
342431124,-146.49548,35.88,103097.0,1.224963
342443618,-146.6593,35.88,103099.0,1.2249867
342467540,-146.74385,35.88,103100.0,1.2249986
342479601,-146.90768,35.88,103102.0,1.2250223
342491710,-146.58003,35.88,103098.0,1.2249748
342515329,-147.15077,35.88,103104.99,1.2250578
342525011,-147.15077,35.88,103104.99,1.2250578
342535541,-146.58003,35.88,103098.0,1.2249748
342556445,-146.6593,35.88,103099.0,1.2249867
342567488,-146.33165,35.88,103094.99,1.2249391
342579877,-146.58003,35.88,103098.0,1.2249748
342601436,-146.2471,35.88,103093.99,1.2249272
342611734,-146.82312,35.88,103101.0,1.2250104
342623386,-146.33165,35.88,103094.99,1.2249391
342647094,-146.33165,35.88,103094.99,1.2249391
342659634,-146.58003,35.88,103098.0,1.2249748
342671569,-146.16783,35.88,103092.99,1.2249153
342695126,-146.41621,35.88,103096.0,1.224951
342707615,-146.00401,35.88,103091.0,1.2248917
342719586,-146.08328,35.88,103091.99,1.2249035
342743337,-146.49548,35.88,103097.0,1.224963
342755606,-146.41621,35.88,103096.0,1.224951
342767058,-146.33165,35.88,103094.99,1.2249391
342791129,-146.08328,35.88,103091.99,1.2249035
342803225,-146.00401,35.88,103091.0,1.2248917
342812561,-145.75563,35.88,103088.0,1.224856
342833436,-145.75563,35.88,103088.0,1.224856
342843560,-146.00401,35.88,103091.0,1.2248917
342855022,-145.10034,35.88,103079.99,1.2247608
342875889,-146.00401,35.88,103091.0,1.2248917
342886967,-145.75563,35.88,103088.0,1.224856
