timestamp,load,ram_usage
340147070,0.727758,0.86474216
341152428,0.803918,0.8648777
342153581,0.767514,0.86501324
343160473,0.766296,0.86501324
344161536,0.769682,0.86501324
345165801,0.783686,0.86501324
346165437,0.794414,0.86501324
347181198,0.827563,0.86501324
348182501,0.843774,0.86501324
349182592,0.829091,0.86501324
350186918,0.840359,0.86501324
351190588,0.840458,0.86501324
352191674,0.812558,0.86501324
353198911,0.806691,0.86501324
354203619,0.804505,0.86501324
355204654,0.80271703,0.86501324
356207495,0.797355,0.86501324
357208435,0.805252,0.86501324
358208557,0.806976,0.86501324
359216682,0.81367,0.86501324
360217600,0.841892,0.86501324
361224558,0.839096,0.86501324
362226180,0.839308,0.86501324
363233435,0.846725,0.86501324
364245245,0.850425,0.86501324
365246220,0.852514,0.86501324
366247229,0.832612,0.86501324
367250486,0.799007,0.86501324
368253982,0.807547,0.86501324
369253629,0.798239,0.86501324
370254768,0.803269,0.86501324
371255507,0.805383,0.86501324
372259988,0.807267,0.86501324
373263565,0.805636,0.86501324
374267339,0.80578,0.86501324
375268440,0.801905,0.86501324
376276512,0.805084,0.86501324
377280352,0.804228,0.86501324
378283888,0.806251,0.86501324
379285605,0.807464,0.86501324
380288666,0.80431,0.86501324
381289614,0.80789,0.86501324
382297246,0.810809,0.86501324
383301793,0.802449,0.86501324
384305586,0.810699,0.86501324
385308354,0.819224,0.86501324
386314048,0.812747,0.86501324
388319049,0.811585,0.86501324
389325409,0.80382,0.86501324
390326449,0.793109,0.86501324
391329740,0.804308,0.86501324
392330715,0.803242,0.86501324
393331508,0.802867,0.86501324
394334097,0.799003,0.86501324
395334510,0.807105,0.86501324
396335733,0.80325,0.86501324
397339330,0.797617,0.86501324
398340676,0.804425,0.86501324
399343619,0.809371,0.86501324
400343911,0.807767,0.86501324
401344499,0.804015,0.86501324
402347948,0.810566,0.86501324
403348832,0.803021,0.86501324
404353235,0.82049,0.86501324
405357600,0.842988,0.86501324
406361354,0.843053,0.86501324
407364993,0.845127,0.86501324
409365470,0.855993,0.86501324
410370286,0.84428,0.86501324
411377595,0.844792,0.86501324
412378559,0.844697,0.86501324
413382160,0.838935,0.86501324
414386022,0.841819,0.86501324
415386923,0.830163,0.86501324
416387700,0.811831,0.86501324
417391131,0.798384,0.86501324
418395606,0.811083,0.86501324
419397961,0.80804,0.86501324
420399389,0.808676,0.86501324
421400471,0.808734,0.86501324
422404015,0.805867,0.86501324
423408342,0.808137,0.86501324
424414822,0.804318,0.86501324
425415623,0.81211,0.86501324
426417563,0.803925,0.86501324
427420439,0.807814,0.86501324
428421435,0.805321,0.86501324
429429189,0.80693,0.86501324
430430227,0.804323,0.86501324
431437409,0.806918,0.86501324
432444753,0.809846,0.86501324
433445181,0.818101,0.86501324
434449987,0.813057,0.86501324
435454435,0.810601,0.86501324
436457497,0.804779,0.86501324
437458486,0.800345,0.86501324
438463117,0.806137,0.86501324
439467703,0.805609,0.86501324
440475222,0.808543,0.86501324
441479390,0.809161,0.86501324
442482294,0.811331,0.86501324
443483517,0.802837,0.86501324
444483793,0.802402,0.86501324
445483635,0.811543,0.86501324
446484435,0.812162,0.86501324
447491915,0.808323,0.86501324
448492982,0.810115,0.86501324
449492536,0.805688,0.86501324
450497337,0.803661,0.86501324
451500630,0.795883,0.86501324
452501435,0.81607,0.86501324
453505418,0.819918,0.86501324
454506437,0.836726,0.86501324
455517178,0.848329,0.86501324
456517191,0.847785,0.86501324
457518314,0.84027,0.86501324
458526189,0.830418,0.86501324
459525817,0.840476,0.86501324
460526846,0.843433,0.86501324
461527702,0.8444,0.86501324
462531322,0.84168303,0.86501324
463534393,0.835426,0.86501324
