timestamp,ping_time,ping_sequence,dropped_packets,rtt_ms,system_id,component_id
399911110,399783836,395,2611123151,127.27401,255,0
399919000,399783836,395,2611123151,135.164,255,0
400858921,400783877,396,2611123151,75.04401,255,0
400872568,400783877,396,2611123151,88.691,255,0
401867114,401780511,397,2611123151,86.603004,255,0
401908192,401780511,397,2611123151,127.68101,255,0
402880674,402781287,398,2611123151,99.387,255,0
402884094,402781287,398,2611123151,102.80701,255,0
403868229,403784823,399,2611123151,83.406006,255,0
403900464,403784823,399,2611123151,115.64101,255,0
404880574,404784322,400,2611123151,96.25201,255,0
404907919,404784322,400,2611123151,123.59701,255,0
405880713,405789349,401,2611123151,91.364006,255,0
405893471,405789349,401,2611123151,104.122,255,0
406884658,406783912,402,2611123151,100.746,255,0
406919939,406783912,402,2611123151,136.02701,255,0
407905150,407785309,403,2611123151,119.841,255,0
407952337,407785309,403,2611123151,167.02802,255,0
408880584,408786354,404,2611123151,94.23,255,0
408892632,408786354,404,2611123151,106.27801,255,0
409900493,409784949,405,2611123151,115.54401,255,0
409904337,409784949,405,2611123151,119.38801,255,0
410888706,410780988,406,2611123151,107.718,255,0
410910241,410780988,406,2611123151,129.253,255,0
411910121,411778869,407,2611123151,131.252,255,0
411938458,411778869,407,2611123151,159.589,255,0
412885498,412782825,408,2611123151,102.673004,255,0
412913189,412782825,408,2611123151,130.36401,255,0
413894323,413785813,409,2611123151,108.51,255,0
413937248,413785813,409,2611123151,151.43501,255,0
414889331,414782029,410,2611123151,107.302,255,0
414966892,414782029,410,2611123151,184.863,255,0
415889586,415782784,411,2611123151,106.802,255,0
415936946,415782784,411,2611123151,154.162,255,0
416882846,416782963,412,2611123151,99.883,255,0
416986202,416782963,412,2611123151,203.23901,255,0
417875108,417779184,413,2611123151,95.924,255,0
417902398,417779184,413,2611123151,123.214005,255,0
418902078,418779044,414,2611123151,123.034004,255,0
418962360,418779044,414,2611123151,183.31601,255,0
419891626,419782608,415,2611123151,109.018005,255,0
419939530,419782608,415,2611123151,156.92201,255,0
420872743,420780418,416,2611123151,92.325005,255,0
421039219,420780418,416,2611123151,258.80103,255,0
421875822,421780142,417,2611123151,95.68001,255,0
421907681,421780142,417,2611123151,127.53901,255,0
422880482,422779709,418,2611123151,100.773,255,0
423860457,423783343,419,2611123151,77.114006,255,0
423880450,423783343,419,2611123151,97.107,255,0
424891945,424780316,420,2611123151,111.629005,255,0
424902807,424780316,420,2611123151,122.491005,255,0
425879717,425783730,421,2611123151,95.98701,255,0
425891901,425783730,421,2611123151,108.171005,255,0
426876147,426780922,422,2611123151,95.225006,255,0
426889310,426780922,422,2611123151,108.38801,255,0
427893542,427779872,423,2611123151,113.670006,255,0
428035871,427779872,423,2611123151,255.99901,255,0
428899842,428780669,424,2611123151,119.173004,255,0
429852217,429784542,425,2611123151,67.675,255,0
429880379,429784542,425,2611123151,95.837006,255,0
430896805,430781604,426,2611123151,115.201004,255,0
430968805,430781604,426,2611123151,187.201,255,0
431884290,431780677,427,2611123151,103.61301,255,0
431896513,431780677,427,2611123151,115.836006,255,0
432881582,432785789,428,2611123151,95.79301,255,0
432913311,432785789,428,2611123151,127.522,255,0
433881180,433781770,429,2611123151,99.41,255,0
433930305,433781770,429,2611123151,148.535,255,0
434892715,434781157,430,2611123151,111.55801,255,0
434938587,434781157,430,2611123151,157.43001,255,0
435878387,435781905,431,2611123151,96.482,255,0
436014062,435781905,431,2611123151,232.15701,255,0
436901575,436782092,432,2611123151,119.48301,255,0
436929485,436782092,432,2611123151,147.393,255,0
437881116,437782251,433,2611123151,98.865005,255,0
437894529,437782251,433,2611123151,112.27801,255,0
438881784,438782566,434,2611123151,99.218,255,0
438961337,438782566,434,2611123151,178.77101,255,0
439886560,439783884,435,2611123151,102.676,255,0
439921794,439783884,435,2611123151,137.91,255,0
440858042,440779411,436,2611123151,78.631004,255,0
440866010,440779411,436,2611123151,86.59901,255,0
441871527,441782992,437,2611123151,88.535,255,0
441911526,441782992,437,2611123151,128.53401,255,0
442850613,442779207,438,2611123151,71.406006,255,0
442890206,442779207,438,2611123151,110.99901,255,0
443891516,443780032,439,2611123151,111.48401,255,0
443894915,443780032,439,2611123151,114.883,255,0
444912336,444783767,440,2611123151,128.569,255,0
445072482,444783767,440,2611123151,288.71503,255,0
445904571,445784659,441,2611123151,119.912,255,0
446880123,446779956,442,2611123151,100.16701,255,0
446943423,446779956,442,2611123151,163.46701,255,0
447892523,447784122,443,2611123151,108.40101,255,0
448173307,447784122,443,2611123151,389.18503,255,0
448901562,448780545,444,2611123151,121.017006,255,0
449472654,448780545,444,2611123151,692.109,255,0
449920180,449780728,445,2611123151,139.45201,255,0
449996976,449780728,445,2611123151,216.24802,255,0
450892655,450781015,446,2611123151,111.64001,255,0
450979184,450781015,446,2611123151,198.169,255,0
451880335,451780007,447,2611123151,100.328,255,0
451939667,451780007,447,2611123151,159.66,255,0
452893482,452781569,448,2611123151,111.913,255,0
452944977,452781569,448,2611123151,163.408,255,0
453841576,453785570,449,2611123151,56.006004,255,0
453893978,453785570,449,2611123151,108.408005,255,0
454920785,454780936,450,2611123151,139.849,255,0
454924227,454780936,450,2611123151,143.291,255,0
455901406,455781756,451,2611123151,119.65001,255,0
456921447,456783167,452,2611123151,138.28001,255,0
456961803,456783167,452,2611123151,178.636,255,0
457870148,457782248,453,2611123151,87.9,255,0
457941317,457782248,453,2611123151,159.069,255,0
458883089,458779176,454,2611123151,103.913,255,0
458925227,458779176,454,2611123151,146.05101,255,0
459891618,459789480,455,2611123151,102.13801,255,0
459902289,459789480,455,2611123151,112.809006,255,0
460903517,460778865,456,2611123151,124.65201,255,0
460922460,460778865,456,2611123151,143.595,255,0
461883540,461782608,457,2611123151,100.93201,255,0
461930345,461782608,457,2611123151,147.737,255,0
462882708,462779685,458,2611123151,103.023,255,0
462885986,462779685,458,2611123151,106.301,255,0
463902083,463779051,459,2611123151,123.032005,255,0
464024588,463779051,459,2611123151,245.53702,255,0
464872547,464780684,460,2611123151,91.86301,255,0
464894597,464780684,460,2611123151,113.913,255,0
465871643,465783320,461,2611123151,88.323006,255,0
465892473,465783320,461,2611123151,109.15301,255,0
466892456,466779861,462,2611123151,112.59501,255,0
466939165,466779861,462,2611123151,159.304,255,0
467856565,467779985,463,2611123151,76.58,255,0
467871819,467779985,463,2611123151,91.83401,255,0
468857628,468780834,464,2611123151,76.79401,255,0
468893117,468780834,464,2611123151,112.283005,255,0
469883830,469780914,465,2611123151,102.91601,255,0
469921629,469780914,465,2611123151,140.71501,255,0
470885468,470781494,466,2611123151,103.97401,255,0
470903644,470781494,466,2611123151,122.15001,255,0
471852992,471781580,467,2611123151,71.412,255,0
471913019,471781580,467,2611123151,131.43901,255,0
472885280,472781764,468,2611123151,103.51601,255,0
472928940,472781764,468,2611123151,147.17601,255,0
473878297,473781007,469,2611123151,97.29,255,0
473905465,473781007,469,2611123151,124.45801,255,0
474893391,474782002,470,2611123151,111.38901,255,0
474949616,474782002,470,2611123151,167.61401,255,0
475868653,475781557,471,2611123151,87.096,255,0
475928493,475781557,471,2611123151,146.936,255,0
476857439,476778405,472,2611123151,79.034004,255,0
476881729,476778405,472,2611123151,103.324005,255,0
477881581,477781525,473,2611123151,100.05601,255,0
477905743,477781525,473,2611123151,124.218,255,0
478876830,478779006,474,2611123151,97.824005,255,0
478901118,478779006,474,2611123151,122.11201,255,0
479865593,479778933,475,2611123151,86.66,255,0
479933958,479778933,475,2611123151,155.02501,255,0
480858094,480779611,476,2611123151,78.483,255,0
480882153,480779611,476,2611123151,102.54201,255,0
481863596,481779194,477,2611123151,84.402,255,0
481870938,481779194,477,2611123151,91.744,255,0
482875360,482780024,478,2611123151,95.336006,255,0
482910968,482780024,478,2611123151,130.944,255,0
483862806,483779170,479,2611123151,83.636,255,0
483904481,483779170,479,2611123151,125.311005,255,0
484876219,484780006,480,2611123151,96.213005,255,0
484914800,484780006,480,2611123151,134.794,255,0
485875745,485783078,481,2611123151,92.66701,255,0
485936464,485783078,481,2611123151,153.386,255,0
486876607,486779726,482,2611123151,96.881004,255,0
486932509,486779726,482,2611123151,152.783,255,0
487896304,487784970,483,2611123151,111.33401,255,0
487912793,487784970,483,2611123151,127.823006,255,0
488877559,488780302,484,2611123151,97.257,255,0
489461514,488780302,484,2611123151,681.21204,255,0
489852026,489780642,485,2611123151,71.384,255,0
489952968,489780642,485,2611123151,172.326,255,0
490863794,490780502,486,2611123151,83.29201,255,0
490920470,490780502,486,2611123151,139.968,255,0
491875911,491781160,487,2611123151,94.75101,255,0
491904669,491781160,487,2611123151,123.509,255,0
492889193,492781123,488,2611123151,108.07001,255,0
492933167,492781123,488,2611123151,152.044,255,0
493908579,493781530,489,2611123151,127.049,255,0
493924647,493781530,489,2611123151,143.117,255,0
494896679,494785526,490,2611123151,111.15301,255,0
494924408,494785526,490,2611123151,138.882,255,0
495889180,495782603,491,2611123151,106.577,255,0
495974110,495782603,491,2611123151,191.507,255,0
496882653,496783102,492,2611123151,99.551,255,0
497210525,496783102,492,2611123151,427.42303,255,0
497875021,497782797,493,2611123151,92.22401,255,0
498878202,498779152,494,2611123151,99.05,255,0
498930563,498779152,494,2611123151,151.41101,255,0
499872008,499779410,495,2611123151,92.59801,255,0
499875531,499779410,495,2611123151,96.121,255,0
500895573,500778867,496,2611123151,116.70601,255,0
501031712,500778867,496,2611123151,252.84502,255,0
501878271,501779005,497,2611123151,99.26601,255,0
501946791,501779005,497,2611123151,167.78601,255,0
502954912,502783887,498,2611123151,171.02501,255,0
503020447,502783887,498,2611123151,236.56001,255,0
503891645,503779159,499,2611123151,112.48601,255,0
503922734,503779159,499,2611123151,143.57501,255,0
506883533,506780837,502,2611123151,102.69601,255,0
506925482,506780837,502,2611123151,144.645,255,0
507903811,507784939,503,2611123151,118.87201,255,0
507920041,507784939,503,2611123151,135.102,255,0
508875911,508781134,504,2611123151,94.77701,255,0
508907552,508781134,504,2611123151,126.41801,255,0
509888702,509781805,505,2611123151,106.897,255,0
509904592,509781805,505,2611123151,122.787,255,0
510896745,510780943,506,2611123151,115.802,255,0
510914469,510780943,506,2611123151,133.526,255,0
511904948,511781604,507,2611123151,123.34401,255,0
511924197,511781604,507,2611123151,142.593,255,0
512865403,512783100,508,2611123151,82.303,255,0
512893355,512783100,508,2611123151,110.255005,255,0
513906981,513782058,509,2611123151,124.923004,255,0
514869279,514782037,510,2611123151,87.242004,255,0
514878390,514782037,510,2611123151,96.353004,255,0
515853906,515782715,511,2611123151,71.191,255,0
515894345,515782715,511,2611123151,111.630005,255,0
516882258,516778922,512,2611123151,103.336006,255,0
516894423,516778922,512,2611123151,115.50101,255,0
517874608,517778968,513,2611123151,95.64001,255,0
517906819,517778968,513,2611123151,127.851006,255,0
518871536,518779639,514,2611123151,91.897,255,0
518886095,518779639,514,2611123151,106.456,255,0
519879558,519783736,515,2611123151,95.82201,255,0
520878896,520779695,516,2611123151,99.201004,255,0
